"ComputerName","UserName","AppName"
"CTR-HP-388N","MSD\AllisonM","7-Zip 24.09 (x64)"
"CTR-HP-388N","MSD\AllisonM","Pen Settings Service"
"CTR-HP-388N","MSD\AllisonM","Mozilla Firefox (x64 en-US)"
"CTR-HP-388N","MSD\AllisonM","Mozilla Maintenance Service"
"CTR-HP-388N","MSD\AllisonM","Notepad++ (64-bit x64)"
"CTR-HP-388N","MSD\AllisonM","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-388N","MSD\AllisonM","Microsoft OneDrive"
"CTR-HP-388N","MSD\AllisonM","VLC media player"
"CTR-HP-388N","MSD\AllisonM","Microsoft Update Health Tools"
"CTR-HP-388N","MSD\AllisonM","Snagit 2024"
"CTR-HP-388N","MSD\AllisonM","Java 8 Update 451 (64-bit)"
"CTR-HP-388N","MSD\AllisonM","TextPad 8.8"
"CTR-HP-388N","MSD\AllisonM","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-388N","MSD\AllisonM","Microsoft Visio Viewer 2016"
"CTR-HP-388N","MSD\AllisonM","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-388N","MSD\AllisonM","Zoom Workplace (64-bit)"
"CTR-HP-388N","MSD\AllisonM","Google Chrome"
"CTR-HP-388N","MSD\AllisonM","Author (Machine)"
"CTR-HP-388N","MSD\AllisonM","Adobe Creative Cloud"
"CTR-HP-388N","MSD\AllisonM","Adobe Genuine Service"
"CTR-HP-388N","MSD\AllisonM","Trend Micro Apex One Security Agent"
"CTR-HP-388N","MSD\AllisonM","Adobe InDesign 2025"
"CTR-HP-388N","MSD\AllisonM","Adobe Photoshop 2025"
"CTR-HP-388N","MSD\AllisonM","Ivanti Secure Access Client 22.8"
"CTR-HP-388N","MSD\AllisonM","UXP WebView Support"
"CTR-HP-388N","MSD\AllisonM","Realtek USB Audio"
"CTR-HP-388N","MSD\AllisonM","HP Notifications"
"CTR-HP-388N","MSD\AllisonM","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-388N","MSD\AllisonM","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-388N","MSD\AllisonM","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-388N","MSD\AllisonM","NinjaRMMAgent"
"CTR-HP-388N","MSD\AllisonM","Pulse Application Launcher"
"CTR-HP-388N","MSD\AllisonM","Microsoft Intune Management Extension"
"CTR-HP-388N","MSD\AllisonM","Adobe Acrobat"
"CTR-HP-388N","MSD\AllisonM","Splashtop Streamer"
"CTR-HP-388N","MSD\AllisonM","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-388N","MSD\AllisonM","Microsoft Edge"
"CTR-HP-388N","MSD\AllisonM","TeamViewer Host"
