"ComputerName","UserName","AppName"
"CTR-HP-40QJD","MSD\AmyN","7-Zip 23.01 (x64)"
"CTR-HP-40QJD","MSD\AmyN","Dell Peripheral Manager"
"CTR-HP-40QJD","MSD\AmyN","Dell Active Pen Service"
"CTR-HP-40QJD","MSD\AmyN","Mozilla Firefox (x64 en-US)"
"CTR-HP-40QJD","MSD\AmyN","Mozilla Maintenance Service"
"CTR-HP-40QJD","MSD\AmyN","Notepad++ (64-bit x64)"
"CTR-HP-40QJD","MSD\AmyN","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-40QJD","MSD\AmyN","Microsoft OneDrive"
"CTR-HP-40QJD","MSD\AmyN","VLC media player"
"CTR-HP-40QJD","MSD\AmyN","SnowflakeODBCDriver64Bit"
"CTR-HP-40QJD","MSD\AmyN","Microsoft Update Health Tools"
"CTR-HP-40QJD","MSD\AmyN","Snagit 2024"
"CTR-HP-40QJD","MSD\AmyN","Java 8 Update 411 (64-bit)"
"CTR-HP-40QJD","MSD\AmyN","TextPad 8.8"
"CTR-HP-40QJD","MSD\AmyN","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-40QJD","MSD\AmyN","Microsoft Visio Viewer 2016"
"CTR-HP-40QJD","MSD\AmyN","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-40QJD","MSD\AmyN","Zoom Workplace (64-bit)"
"CTR-HP-40QJD","MSD\AmyN","Webex"
"CTR-HP-40QJD","MSD\AmyN","Google Chrome"
"CTR-HP-40QJD","MSD\AmyN","Trend Micro Apex One Security Agent"
"CTR-HP-40QJD","MSD\AmyN","NinjaRMMAgent"
"CTR-HP-40QJD","MSD\AmyN","Ivanti Secure Access Client 22.8"
"CTR-HP-40QJD","MSD\AmyN","Realtek USB Audio"
"CTR-HP-40QJD","MSD\AmyN","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-40QJD","MSD\AmyN","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-40QJD","MSD\AmyN","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-40QJD","MSD\AmyN","PowerDMS Author"
"CTR-HP-40QJD","MSD\AmyN","HP Notifications"
"CTR-HP-40QJD","MSD\AmyN","Pulse Application Launcher"
"CTR-HP-40QJD","MSD\AmyN","Microsoft Intune Management Extension"
"CTR-HP-40QJD","MSD\AmyN","Adobe Acrobat"
"CTR-HP-40QJD","MSD\AmyN","Splashtop Streamer"
"CTR-HP-40QJD","MSD\AmyN","Microsoft Edge"
"CTR-HP-40QJD","MSD\AmyN","Avaya Workplace"
"CTR-HP-40QJD","MSD\AmyN","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-40QJD","MSD\AmyN","TeamViewer Host"
