"ComputerName","UserName","AppName"
"CTR-HP-0TFR","MSD\AndreaW","Windows Driver Package - Digital Check Corporation (TsUsb2) USB  (04/01/2010 2.0.0.0)"
"CTR-HP-0TFR","MSD\AndreaW","7-Zip 24.09 (x64)"
"CTR-HP-0TFR","MSD\AndreaW","Windows Driver Package - DCC Digital Check Corp. (DccSt3) USB  (01/21/2015 1.0.0.0)"
"CTR-HP-0TFR","MSD\AndreaW","Pen Settings Service"
"CTR-HP-0TFR","MSD\AndreaW","Mozilla Firefox (x64 en-US)"
"CTR-HP-0TFR","MSD\AndreaW","Mozilla Maintenance Service"
"CTR-HP-0TFR","MSD\AndreaW","Notepad++ (64-bit x64)"
"CTR-HP-0TFR","MSD\AndreaW","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-0TFR","MSD\AndreaW","Microsoft OneDrive"
"CTR-HP-0TFR","MSD\AndreaW","VLC media player"
"CTR-HP-0TFR","MSD\AndreaW","Realtek USB Audio"
"CTR-HP-0TFR","MSD\AndreaW","Microsoft Update Health Tools"
"CTR-HP-0TFR","MSD\AndreaW","FaxFinder® Client (64-bit)"
"CTR-HP-0TFR","MSD\AndreaW","Snagit 2024"
"CTR-HP-0TFR","MSD\AndreaW","Java 8 Update 441 (64-bit)"
"CTR-HP-0TFR","MSD\AndreaW","TextPad 8.8"
"CTR-HP-0TFR","MSD\AndreaW","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-0TFR","MSD\AndreaW","Microsoft Visio Viewer 2016"
"CTR-HP-0TFR","MSD\AndreaW","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-0TFR","MSD\AndreaW","Zoom Workplace (64-bit)"
"CTR-HP-0TFR","MSD\AndreaW","Google Chrome"
"CTR-HP-0TFR","MSD\AndreaW","Trend Micro Apex One Security Agent"
"CTR-HP-0TFR","MSD\AndreaW","DYMO Connect Web Service"
"CTR-HP-0TFR","MSD\AndreaW","Ivanti Secure Access Client 22.8"
"CTR-HP-0TFR","MSD\AndreaW","HP Notifications"
"CTR-HP-0TFR","MSD\AndreaW","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-0TFR","MSD\AndreaW","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-0TFR","MSD\AndreaW","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-0TFR","MSD\AndreaW","RemoteDepositWebClient"
"CTR-HP-0TFR","MSD\AndreaW","DYMO Connect"
"CTR-HP-0TFR","MSD\AndreaW","PowerDMS Author"
"CTR-HP-0TFR","MSD\AndreaW","NinjaRMMAgent"
"CTR-HP-0TFR","MSD\AndreaW","Pulse Application Launcher"
"CTR-HP-0TFR","MSD\AndreaW","Microsoft Windows Desktop Runtime - 8.0.4 (x64)"
"CTR-HP-0TFR","MSD\AndreaW","Microsoft Intune Management Extension"
"CTR-HP-0TFR","MSD\AndreaW","Adobe Acrobat"
"CTR-HP-0TFR","MSD\AndreaW","Splashtop Streamer"
"CTR-HP-0TFR","MSD\AndreaW","Microsoft Edge"
"CTR-HP-0TFR","MSD\AndreaW","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-0TFR","MSD\AndreaW","TeamViewer Host"
