"ComputerName","UserName","AppName"
"CTR-HP-388P","MSD\AngeloD","7-Zip 23.01 (x64)"
"CTR-HP-388P","MSD\AngeloD","Control-M Client 9.0.21.300 (CTR-HP-388P_0)"
"CTR-HP-388P","MSD\AngeloD","Pen Settings Service"
"CTR-HP-388P","MSD\AngeloD","Mozilla Firefox (x64 en-US)"
"CTR-HP-388P","MSD\AngeloD","Mozilla Maintenance Service"
"CTR-HP-388P","MSD\AngeloD","Notepad++ (64-bit x64)"
"CTR-HP-388P","MSD\AngeloD","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-388P","MSD\AngeloD","Microsoft OneDrive"
"CTR-HP-388P","MSD\AngeloD","VLC media player"
"CTR-HP-388P","MSD\AngeloD","Snagit 2021"
"CTR-HP-388P","MSD\AngeloD","SnowflakeODBCDriver64Bit"
"CTR-HP-388P","MSD\AngeloD","Microsoft Update Health Tools"
"CTR-HP-388P","MSD\AngeloD","Java 8 Update 431 (64-bit)"
"CTR-HP-388P","MSD\AngeloD","HP USB-C Dock G5 Firmware Installer"
"CTR-HP-388P","MSD\AngeloD","TextPad 8.8"
"CTR-HP-388P","MSD\AngeloD","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-388P","MSD\AngeloD","Microsoft Visio Viewer 2016"
"CTR-HP-388P","MSD\AngeloD","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-388P","MSD\AngeloD","Zoom Workplace (64-bit)"
"CTR-HP-388P","MSD\AngeloD","Google Chrome"
"CTR-HP-388P","MSD\AngeloD","Trend Micro Apex One Security Agent"
"CTR-HP-388P","MSD\AngeloD","NinjaRMMAgent"
"CTR-HP-388P","MSD\AngeloD","Ivanti Secure Access Client 22.8"
"CTR-HP-388P","MSD\AngeloD","Realtek USB Audio"
"CTR-HP-388P","MSD\AngeloD","Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.27.29112"
"CTR-HP-388P","MSD\AngeloD","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-388P","MSD\AngeloD","HP Dock Accessory WMI Provider"
"CTR-HP-388P","MSD\AngeloD","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-388P","MSD\AngeloD","Teams Machine-Wide Installer"
"CTR-HP-388P","MSD\AngeloD","PowerDMS Author"
"CTR-HP-388P","MSD\AngeloD","HP Notifications"
"CTR-HP-388P","MSD\AngeloD","Pulse Application Launcher"
"CTR-HP-388P","MSD\AngeloD","Microsoft Intune Management Extension"
"CTR-HP-388P","MSD\AngeloD","Adobe Acrobat"
"CTR-HP-388P","MSD\AngeloD","Splashtop Streamer"
"CTR-HP-388P","MSD\AngeloD","Microsoft Edge"
"CTR-HP-388P","MSD\AngeloD","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-388P","MSD\AngeloD","TeamViewer Host"
