"ComputerName","UserName","AppName"
"CTR-HP-9389B","MSD\AprelM","Author 3.0.8-beta.1"
"CTR-HP-9389B","MSD\AprelM","7-Zip 23.01 (x64)"
"CTR-HP-9389B","MSD\AprelM","Pen Settings Service"
"CTR-HP-9389B","MSD\AprelM","Mozilla Firefox (x64 en-US)"
"CTR-HP-9389B","MSD\AprelM","Mozilla Maintenance Service"
"CTR-HP-9389B","MSD\AprelM","Notepad++ (64-bit x64)"
"CTR-HP-9389B","MSD\AprelM","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-9389B","MSD\AprelM","Microsoft OneDrive"
"CTR-HP-9389B","MSD\AprelM","Microsoft Project - en-us"
"CTR-HP-9389B","MSD\AprelM","Microsoft Visio - en-us"
"CTR-HP-9389B","MSD\AprelM","VLC media player"
"CTR-HP-9389B","MSD\AprelM","Snagit 2021"
"CTR-HP-9389B","MSD\AprelM","SnowflakeODBCDriver64Bit"
"CTR-HP-9389B","MSD\AprelM","Microsoft Update Health Tools"
"CTR-HP-9389B","MSD\AprelM","Author (Machine)"
"CTR-HP-9389B","MSD\AprelM","Java 8 Update 411 (64-bit)"
"CTR-HP-9389B","MSD\AprelM","TextPad 8.8"
"CTR-HP-9389B","MSD\AprelM","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-9389B","MSD\AprelM","Microsoft Visio Viewer 2016"
"CTR-HP-9389B","MSD\AprelM","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-9389B","MSD\AprelM","Zoom Workplace (64-bit)"
"CTR-HP-9389B","MSD\AprelM","Google Chrome"
"CTR-HP-9389B","MSD\AprelM","Trend Micro Apex One Security Agent"
"CTR-HP-9389B","MSD\AprelM","NinjaRMMAgent"
"CTR-HP-9389B","MSD\AprelM","Ivanti Secure Access Client 22.8"
"CTR-HP-9389B","MSD\AprelM","Realtek USB Audio"
"CTR-HP-9389B","MSD\AprelM","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-9389B","MSD\AprelM","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-9389B","MSD\AprelM","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-9389B","MSD\AprelM","HP Notifications"
"CTR-HP-9389B","MSD\AprelM","Pulse Application Launcher"
"CTR-HP-9389B","MSD\AprelM","Microsoft Intune Management Extension"
"CTR-HP-9389B","MSD\AprelM","Microsoft Edge"
"CTR-HP-9389B","MSD\AprelM","Adobe Acrobat"
"CTR-HP-9389B","MSD\AprelM","Splashtop Streamer"
"CTR-HP-9389B","MSD\AprelM","GoTo Opener"
"CTR-HP-9389B","MSD\AprelM","Avaya Workplace"
"CTR-HP-9389B","MSD\AprelM","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-9389B","MSD\AprelM","TeamViewer Host"
