"ComputerName","UserName","AppName"
"CTR-HP-2R0Y","SYSTEM","7-Zip 24.05 (x64)"
"CTR-HP-2R0Y","SYSTEM","Pen Settings Service"
"CTR-HP-2R0Y","SYSTEM","Mozilla Firefox (x64 en-US)"
"CTR-HP-2R0Y","SYSTEM","Mozilla Maintenance Service"
"CTR-HP-2R0Y","SYSTEM","Notepad++ (64-bit x64)"
"CTR-HP-2R0Y","SYSTEM","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-2R0Y","SYSTEM","Microsoft OneDrive"
"CTR-HP-2R0Y","SYSTEM","VLC media player"
"CTR-HP-2R0Y","SYSTEM","Snagit 2021"
"CTR-HP-2R0Y","SYSTEM","SnowflakeODBCDriver64Bit"
"CTR-HP-2R0Y","SYSTEM","Google Chrome"
"CTR-HP-2R0Y","SYSTEM","Microsoft Update Health Tools"
"CTR-HP-2R0Y","SYSTEM","Java 8 Update 411 (64-bit)"
"CTR-HP-2R0Y","SYSTEM","HP USB-C Dock G5 Firmware Installer"
"CTR-HP-2R0Y","SYSTEM","TextPad 8.8"
"CTR-HP-2R0Y","SYSTEM","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-2R0Y","SYSTEM","Microsoft Visio Viewer 2016"
"CTR-HP-2R0Y","SYSTEM","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-2R0Y","SYSTEM","Zoom Workplace (64-bit)"
"CTR-HP-2R0Y","SYSTEM","Trend Micro Apex One Security Agent"
"CTR-HP-2R0Y","SYSTEM","NinjaRMMAgent"
"CTR-HP-2R0Y","SYSTEM","Ivanti Secure Access Client 22.8"
"CTR-HP-2R0Y","SYSTEM","Splashtop Software Updater"
"CTR-HP-2R0Y","SYSTEM","Realtek USB Audio"
"CTR-HP-2R0Y","SYSTEM","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-2R0Y","SYSTEM","HP Dock Accessory WMI Provider"
"CTR-HP-2R0Y","SYSTEM","Cisco Webex Meetings"
"CTR-HP-2R0Y","SYSTEM","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-2R0Y","SYSTEM","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-2R0Y","SYSTEM","Teams Machine-Wide Installer"
"CTR-HP-2R0Y","SYSTEM","PowerDMS Author"
"CTR-HP-2R0Y","SYSTEM","HP Notifications"
"CTR-HP-2R0Y","SYSTEM","Pulse Application Launcher"
"CTR-HP-2R0Y","SYSTEM","Microsoft Intune Management Extension"
"CTR-HP-2R0Y","SYSTEM","Microsoft Edge"
"CTR-HP-2R0Y","SYSTEM","Adobe Acrobat"
"CTR-HP-2R0Y","SYSTEM","Splashtop Streamer"
"CTR-HP-2R0Y","SYSTEM","Avaya Workplace"
"CTR-HP-2R0Y","SYSTEM","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-2R0Y","SYSTEM","TeamViewer Host"
