"ComputerName","UserName","AppName"
"CTR-RMT-D78KZC3","SYSTEM","7-Zip 24.06 (x64)"
"CTR-RMT-D78KZC3","SYSTEM","Intel(R) Arc Software & Drivers"
"CTR-RMT-D78KZC3","SYSTEM","Mozilla Firefox (x64 en-US)"
"CTR-RMT-D78KZC3","SYSTEM","Mozilla Maintenance Service"
"CTR-RMT-D78KZC3","SYSTEM","Notepad++ (64-bit x64)"
"CTR-RMT-D78KZC3","SYSTEM","Microsoft 365 Apps for enterprise - en-us"
"CTR-RMT-D78KZC3","SYSTEM","Microsoft OneDrive"
"CTR-RMT-D78KZC3","SYSTEM","Microsoft Visio - en-us"
"CTR-RMT-D78KZC3","SYSTEM","VLC media player"
"CTR-RMT-D78KZC3","SYSTEM","Snagit 2021"
"CTR-RMT-D78KZC3","SYSTEM","Microsoft Visual C++ 2005 Redistributable (x64)"
"CTR-RMT-D78KZC3","SYSTEM","SnowflakeODBCDriver64Bit"
"CTR-RMT-D78KZC3","SYSTEM","Google Chrome"
"CTR-RMT-D78KZC3","SYSTEM","Intel(R) Management Engine Components"
"CTR-RMT-D78KZC3","SYSTEM","Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219"
"CTR-RMT-D78KZC3","SYSTEM","Microsoft Update Health Tools"
"CTR-RMT-D78KZC3","SYSTEM","Dell Command | Update for Windows Universal"
"CTR-RMT-D78KZC3","SYSTEM","Java 8 Update 411 (64-bit)"
"CTR-RMT-D78KZC3","SYSTEM","Amazon Redshift ODBC Driver 64-bit CIW CUSTOMER PACKAGE"
"CTR-RMT-D78KZC3","SYSTEM","TextPad 8.8"
"CTR-RMT-D78KZC3","SYSTEM","Microsoft Visio Viewer 2016"
"CTR-RMT-D78KZC3","SYSTEM","Intel(R) Serial IO"
"CTR-RMT-D78KZC3","SYSTEM","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-RMT-D78KZC3","SYSTEM","Microsoft Visual C++ 2005 Redistributable (x64)"
"CTR-RMT-D78KZC3","SYSTEM","Zoom Workplace (64-bit)"
"CTR-RMT-D78KZC3","SYSTEM","DameWare Mini Remote Control Service"
"CTR-RMT-D78KZC3","SYSTEM","Trend Micro Apex One Security Agent"
"CTR-RMT-D78KZC3","SYSTEM","Bitvise SSH Client 8.53 (remove only)"
"CTR-RMT-D78KZC3","SYSTEM","EXTRA! Personal Client 32-bit"
"CTR-RMT-D78KZC3","SYSTEM","IBM Netezza ODBC Driver"
"CTR-RMT-D78KZC3","SYSTEM","NinjaRMMAgent"
"CTR-RMT-D78KZC3","SYSTEM","Pulse Secure 9.1"
"CTR-RMT-D78KZC3","SYSTEM","Microsoft Edge"
"CTR-RMT-D78KZC3","SYSTEM","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-RMT-D78KZC3","SYSTEM","Microsoft Windows Desktop Runtime - 8.0.18 (x64)"
"CTR-RMT-D78KZC3","SYSTEM","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-RMT-D78KZC3","SYSTEM","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-RMT-D78KZC3","SYSTEM","Dell SupportAssist OS Recovery Plugin for Dell Update"
"CTR-RMT-D78KZC3","SYSTEM","Teams Machine-Wide Installer"
"CTR-RMT-D78KZC3","SYSTEM","PowerDMS Author"
"CTR-RMT-D78KZC3","SYSTEM","Microsoft PowerBI Desktop (x64)"
"CTR-RMT-D78KZC3","SYSTEM","Microsoft Intune Management Extension"
"CTR-RMT-D78KZC3","SYSTEM","Adobe Acrobat"
"CTR-RMT-D78KZC3","SYSTEM","Splashtop Streamer"
"CTR-RMT-D78KZC3","SYSTEM","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-RMT-D78KZC3","SYSTEM","Realtek Audio Driver"
