"ComputerName","UserName","AppName"
"CTR-SFB-2601554","MSD\CathyDE","7-Zip 19.00 (x64)"
"CTR-SFB-2601554","MSD\CathyDE","IBM Netezza OLE-DB Provider"
"CTR-SFB-2601554","MSD\CathyDE","Logitech Options"
"CTR-SFB-2601554","MSD\CathyDE","Microsoft Visual Studio 2010 Tools for Office Runtime (x64)"
"CTR-SFB-2601554","MSD\CathyDE","Mozilla Firefox (x64 en-US)"
"CTR-SFB-2601554","MSD\CathyDE","Mozilla Maintenance Service"
"CTR-SFB-2601554","MSD\CathyDE","USBPcap 1.2.0.3"
"CTR-SFB-2601554","MSD\CathyDE","VLC media player"
"CTR-SFB-2601554","MSD\CathyDE","Snagit 2019"
"CTR-SFB-2601554","MSD\CathyDE","Quest SQL Optimizer for Oracle"
"CTR-SFB-2601554","MSD\CathyDE","Microsoft Visual C++ 2005 Redistributable (x64)"
"CTR-SFB-2601554","MSD\CathyDE","SnowflakeODBCDriver64Bit"
"CTR-SFB-2601554","MSD\CathyDE","Surface Book 3 Update 20.051.9924.0 (64 bit)"
"CTR-SFB-2601554","MSD\CathyDE","Surface Dock FW Update 1.53.139 AMD64 (64 bit)"
"CTR-SFB-2601554","MSD\CathyDE","Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219"
"CTR-SFB-2601554","MSD\CathyDE","Microsoft Update Health Tools"
"CTR-SFB-2601554","MSD\CathyDE","Toad for Oracle 12"
"CTR-SFB-2601554","MSD\CathyDE","Microsoft Surface UEFI Manager"
"CTR-SFB-2601554","MSD\CathyDE","Microsoft Surface Diagnostic Toolkit for Business (64-bit)"
"CTR-SFB-2601554","MSD\CathyDE","TextPad 8"
"CTR-SFB-2601554","MSD\CathyDE","Bonjour"
"CTR-SFB-2601554","MSD\CathyDE","Java 8 Update 431 (64-bit)"
"CTR-SFB-2601554","MSD\CathyDE","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-SFB-2601554","MSD\CathyDE","Microsoft Silverlight"
"CTR-SFB-2601554","MSD\CathyDE","HP Officejet Pro 8600 Basic Device Software"
"CTR-SFB-2601554","MSD\CathyDE","Microsoft Visio SDK 2016"
"CTR-SFB-2601554","MSD\CathyDE","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-SFB-2601554","MSD\CathyDE","Microsoft Visual C++ 2005 Redistributable (x64)"
"CTR-SFB-2601554","MSD\CathyDE","Google Earth Pro"
"CTR-SFB-2601554","MSD\CathyDE","NVIDIA Graphics Driver 537.58"
"CTR-SFB-2601554","MSD\CathyDE","HP Officejet Pro 8600 Product Improvement Study"
"CTR-SFB-2601554","MSD\CathyDE","Google Chrome"
"CTR-SFB-2601554","MSD\CathyDE","Zoom Workplace (64-bit)"
"CTR-SFB-2601554","MSD\CathyDE","Windows Subsystem for Linux Update"
"CTR-SFB-2601554","MSD\CathyDE","Surface Dock 2 SEMM for Dock (64 bit)"
"CTR-SFB-2601554","MSD\CathyDE","Trend Micro Apex One Security Agent"
"CTR-SFB-2601554","MSD\CathyDE","Bitvise SSH Client 8.35 (remove only)"
"CTR-SFB-2601554","MSD\CathyDE","EXTRA! Personal Client 32-bit"
"CTR-SFB-2601554","MSD\CathyDE","IBM Netezza ODBC Driver"
"CTR-SFB-2601554","MSD\CathyDE","Mozilla Firefox (x86 en-US)"
"CTR-SFB-2601554","MSD\CathyDE","NinjaRMMAgent"
"CTR-SFB-2601554","MSD\CathyDE","Notepad++ (32-bit x86)"
"CTR-SFB-2601554","MSD\CathyDE","Microsoft Office Professional Plus 2016"
"CTR-SFB-2601554","MSD\CathyDE","Microsoft Visio Professional 2016"
"CTR-SFB-2601554","MSD\CathyDE","Ivanti Secure Access Client 22.8"
"CTR-SFB-2601554","MSD\CathyDE","Quest Installer"
"CTR-SFB-2601554","MSD\CathyDE","Razer Synapse"
"CTR-SFB-2601554","MSD\CathyDE","VLC media player"
"CTR-SFB-2601554","MSD\CathyDE","WinPcap 4.1.3"
"CTR-SFB-2601554","MSD\CathyDE","WinSCP 5.1.4"
"CTR-SFB-2601554","MSD\CathyDE","Wireshark 2.6.0 64-bit"
"CTR-SFB-2601554","MSD\CathyDE","Microsoft Surface BitLocker Protector Check (32-bit)"
"CTR-SFB-2601554","MSD\CathyDE","FoscamVMS"
"CTR-SFB-2601554","MSD\CathyDE","CA WA Workstation"
"CTR-SFB-2601554","MSD\CathyDE","Microsoft Surface Pro X UEFI Configurator"
"CTR-SFB-2601554","MSD\CathyDE","Microsoft Bing Service"
"CTR-SFB-2601554","MSD\CathyDE","Bing Bar"
"CTR-SFB-2601554","MSD\CathyDE","HP Officejet Pro 8600 Help"
"CTR-SFB-2601554","MSD\CathyDE","IPCWebComponents 5.1.0.12"
"CTR-SFB-2601554","MSD\CathyDE","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-SFB-2601554","MSD\CathyDE","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-SFB-2601554","MSD\CathyDE","NVRComponents 3.0.0.3"
"CTR-SFB-2601554","MSD\CathyDE","HP Update"
"CTR-SFB-2601554","MSD\CathyDE","Microsoft Visual C++ 2005 Redistributable"
"CTR-SFB-2601554","MSD\CathyDE","Microsoft Visual C++ 2005 Redistributable"
"CTR-SFB-2601554","MSD\CathyDE","PowerDMS Author"
"CTR-SFB-2601554","MSD\CathyDE","Apple Software Update"
