"ComputerName","UserName","AppName"
"CTR-HP-2R1X","MSD\CorrineS","7-Zip 24.05 (x64)"
"CTR-HP-2R1X","MSD\CorrineS","Pen Settings Service"
"CTR-HP-2R1X","MSD\CorrineS","Mozilla Firefox (x64 en-US)"
"CTR-HP-2R1X","MSD\CorrineS","Mozilla Maintenance Service"
"CTR-HP-2R1X","MSD\CorrineS","Notepad++ (64-bit x64)"
"CTR-HP-2R1X","MSD\CorrineS","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-2R1X","MSD\CorrineS","Microsoft OneDrive"
"CTR-HP-2R1X","MSD\CorrineS","VLC media player"
"CTR-HP-2R1X","MSD\CorrineS","Snagit 2021"
"CTR-HP-2R1X","MSD\CorrineS","SnowflakeODBCDriver64Bit"
"CTR-HP-2R1X","MSD\CorrineS","Microsoft Update Health Tools"
"CTR-HP-2R1X","MSD\CorrineS","Java 8 Update 411 (64-bit)"
"CTR-HP-2R1X","MSD\CorrineS","HP USB-C Dock G5 Firmware Installer"
"CTR-HP-2R1X","MSD\CorrineS","TextPad 8.8"
"CTR-HP-2R1X","MSD\CorrineS","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-2R1X","MSD\CorrineS","Microsoft Visio Viewer 2016"
"CTR-HP-2R1X","MSD\CorrineS","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-2R1X","MSD\CorrineS","Zoom Workplace (64-bit)"
"CTR-HP-2R1X","MSD\CorrineS","Google Chrome"
"CTR-HP-2R1X","MSD\CorrineS","Trend Micro Apex One Security Agent"
"CTR-HP-2R1X","MSD\CorrineS","NinjaRMMAgent"
"CTR-HP-2R1X","MSD\CorrineS","Ivanti Secure Access Client 22.8"
"CTR-HP-2R1X","MSD\CorrineS","Realtek USB Audio"
"CTR-HP-2R1X","MSD\CorrineS","Microsoft Edge"
"CTR-HP-2R1X","MSD\CorrineS","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-2R1X","MSD\CorrineS","HP Dock Accessory WMI Provider"
"CTR-HP-2R1X","MSD\CorrineS","Cisco Webex Meetings"
"CTR-HP-2R1X","MSD\CorrineS","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-2R1X","MSD\CorrineS","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-2R1X","MSD\CorrineS","Teams Machine-Wide Installer"
"CTR-HP-2R1X","MSD\CorrineS","GoTo Opener"
"CTR-HP-2R1X","MSD\CorrineS","PowerDMS Author"
"CTR-HP-2R1X","MSD\CorrineS","HP Notifications"
"CTR-HP-2R1X","MSD\CorrineS","Pulse Application Launcher"
"CTR-HP-2R1X","MSD\CorrineS","Adobe Acrobat"
"CTR-HP-2R1X","MSD\CorrineS","Splashtop Streamer"
"CTR-HP-2R1X","MSD\CorrineS","Avaya Workplace"
"CTR-HP-2R1X","MSD\CorrineS","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-2R1X","MSD\CorrineS","TeamViewer Host"
