"ComputerName","UserName","AppName"
"CTR-HP-70QGQ","MSD\DarrenD","7-Zip 24.09 (x64)"
"CTR-HP-70QGQ","MSD\DarrenD","Git"
"CTR-HP-70QGQ","MSD\DarrenD","Pen Settings Service"
"CTR-HP-70QGQ","MSD\DarrenD","Mozilla Firefox (x64 en-US)"
"CTR-HP-70QGQ","MSD\DarrenD","Mozilla Maintenance Service"
"CTR-HP-70QGQ","MSD\DarrenD","Notepad++ (64-bit x64)"
"CTR-HP-70QGQ","MSD\DarrenD","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-70QGQ","MSD\DarrenD","Microsoft OneDrive"
"CTR-HP-70QGQ","MSD\DarrenD","TeamViewer"
"CTR-HP-70QGQ","MSD\DarrenD","VLC media player"
"CTR-HP-70QGQ","MSD\DarrenD","SnowflakeODBCDriver64Bit"
"CTR-HP-70QGQ","MSD\DarrenD","Microsoft Update Health Tools"
"CTR-HP-70QGQ","MSD\DarrenD","Zoom Workplace (64-bit)"
"CTR-HP-70QGQ","MSD\DarrenD","Snagit 2024"
"CTR-HP-70QGQ","MSD\DarrenD","Author (Machine)"
"CTR-HP-70QGQ","MSD\DarrenD","Google Chrome"
"CTR-HP-70QGQ","MSD\DarrenD","HP USB-C&A Universal Dock G2 Firmware Installer"
"CTR-HP-70QGQ","MSD\DarrenD","Microsoft OLE DB Driver for SQL Server"
"CTR-HP-70QGQ","MSD\DarrenD","Java 8 Update 441 (64-bit)"
"CTR-HP-70QGQ","MSD\DarrenD","TextPad 8.8"
"CTR-HP-70QGQ","MSD\DarrenD","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-70QGQ","MSD\DarrenD","Microsoft Visio Viewer 2016"
"CTR-HP-70QGQ","MSD\DarrenD","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-70QGQ","MSD\DarrenD","HP USB-C Dock G5 Firmware Installer"
"CTR-HP-70QGQ","MSD\DarrenD","Trend Micro Apex One Security Agent"
"CTR-HP-70QGQ","MSD\DarrenD","Microsoft Help Viewer 2.3"
"CTR-HP-70QGQ","MSD\DarrenD","NinjaRMMAgent"
"CTR-HP-70QGQ","MSD\DarrenD","Ivanti Secure Access Client 22.8"
"CTR-HP-70QGQ","MSD\DarrenD","Realtek USB Audio"
"CTR-HP-70QGQ","MSD\DarrenD","HP Notifications"
"CTR-HP-70QGQ","MSD\DarrenD","Splashtop for RMM"
"CTR-HP-70QGQ","MSD\DarrenD","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-70QGQ","MSD\DarrenD","HP Accessory WMI Provider"
"CTR-HP-70QGQ","MSD\DarrenD","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-70QGQ","MSD\DarrenD","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-70QGQ","MSD\DarrenD","NinjaRMMAgent"
"CTR-HP-70QGQ","MSD\DarrenD","Pulse Application Launcher"
"CTR-HP-70QGQ","MSD\DarrenD","Microsoft Edge"
"CTR-HP-70QGQ","MSD\DarrenD","Microsoft Intune Management Extension"
"CTR-HP-70QGQ","MSD\DarrenD","Microsoft SQL Server Management Studio - 20.2"
"CTR-HP-70QGQ","MSD\DarrenD","Advanced Installer 22.6"
"CTR-HP-70QGQ","MSD\DarrenD","Adobe Acrobat"
"CTR-HP-70QGQ","MSD\DarrenD","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-70QGQ","MSD\DarrenD","Microsoft Visual Studio Tools for Applications 2019"
