"ComputerName","UserName","AppName"
"CTR-HP-70QKM","MSD\DavidG","7-Zip 24.05 (x64)"
"CTR-HP-70QKM","MSD\DavidG","Pen Settings Service"
"CTR-HP-70QKM","MSD\DavidG","Mozilla Firefox (x64 en-US)"
"CTR-HP-70QKM","MSD\DavidG","Mozilla Maintenance Service"
"CTR-HP-70QKM","MSD\DavidG","Notepad++ (64-bit x64)"
"CTR-HP-70QKM","MSD\DavidG","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-70QKM","MSD\DavidG","Microsoft OneDrive"
"CTR-HP-70QKM","MSD\DavidG","VLC media player"
"CTR-HP-70QKM","MSD\DavidG","SnowflakeODBCDriver64Bit"
"CTR-HP-70QKM","MSD\DavidG","Microsoft Update Health Tools"
"CTR-HP-70QKM","MSD\DavidG","Snagit 2024"
"CTR-HP-70QKM","MSD\DavidG","Java 8 Update 411 (64-bit)"
"CTR-HP-70QKM","MSD\DavidG","TextPad 8.8"
"CTR-HP-70QKM","MSD\DavidG","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-70QKM","MSD\DavidG","Microsoft Visio Viewer 2016"
"CTR-HP-70QKM","MSD\DavidG","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-70QKM","MSD\DavidG","Google Chrome"
"CTR-HP-70QKM","MSD\DavidG","Zoom Workplace (64-bit)"
"CTR-HP-70QKM","MSD\DavidG","Trend Micro Apex One Security Agent"
"CTR-HP-70QKM","MSD\DavidG","NinjaRMMAgent"
"CTR-HP-70QKM","MSD\DavidG","Ivanti Secure Access Client 22.8"
"CTR-HP-70QKM","MSD\DavidG","Realtek USB Audio"
"CTR-HP-70QKM","MSD\DavidG","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-70QKM","MSD\DavidG","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-70QKM","MSD\DavidG","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-70QKM","MSD\DavidG","PowerDMS Author"
"CTR-HP-70QKM","MSD\DavidG","HP Notifications"
"CTR-HP-70QKM","MSD\DavidG","GoTo Opener"
"CTR-HP-70QKM","MSD\DavidG","Pulse Application Launcher"
"CTR-HP-70QKM","MSD\DavidG","Microsoft Edge"
"CTR-HP-70QKM","MSD\DavidG","Microsoft Intune Management Extension"
"CTR-HP-70QKM","MSD\DavidG","Adobe Acrobat"
"CTR-HP-70QKM","MSD\DavidG","Splashtop Streamer"
"CTR-HP-70QKM","MSD\DavidG","Avaya Workplace"
"CTR-HP-70QKM","MSD\DavidG","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-70QKM","MSD\DavidG","TeamViewer Host"
