"ComputerName","UserName","AppName"
"CTR-HP-3889","MSD\DavidM","7-Zip 24.08 (x64)"
"CTR-HP-3889","MSD\DavidM","Pen Settings Service"
"CTR-HP-3889","MSD\DavidM","Mozilla Firefox (x64 en-US)"
"CTR-HP-3889","MSD\DavidM","Mozilla Maintenance Service"
"CTR-HP-3889","MSD\DavidM","Notepad++ (64-bit x64)"
"CTR-HP-3889","MSD\DavidM","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-3889","MSD\DavidM","Microsoft OneDrive"
"CTR-HP-3889","MSD\DavidM","Microsoft Project - en-us"
"CTR-HP-3889","MSD\DavidM","Microsoft Visio - en-us"
"CTR-HP-3889","MSD\DavidM","VLC media player"
"CTR-HP-3889","MSD\DavidM","SnowflakeODBCDriver64Bit"
"CTR-HP-3889","MSD\DavidM","Google Chrome"
"CTR-HP-3889","MSD\DavidM","Microsoft Update Health Tools"
"CTR-HP-3889","MSD\DavidM","Java 8 Update 421 (64-bit)"
"CTR-HP-3889","MSD\DavidM","TextPad 8.8"
"CTR-HP-3889","MSD\DavidM","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-3889","MSD\DavidM","Microsoft Visio Viewer 2016"
"CTR-HP-3889","MSD\DavidM","Snagit 2024"
"CTR-HP-3889","MSD\DavidM","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-3889","MSD\DavidM","Zoom Workplace (64-bit)"
"CTR-HP-3889","MSD\DavidM","Trend Micro Apex One Security Agent"
"CTR-HP-3889","MSD\DavidM","Ivanti Secure Access Client 22.8"
"CTR-HP-3889","MSD\DavidM","Realtek USB Audio"
"CTR-HP-3889","MSD\DavidM","HP Notifications"
"CTR-HP-3889","MSD\DavidM","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-3889","MSD\DavidM","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-3889","MSD\DavidM","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-3889","MSD\DavidM","PowerDMS Author"
"CTR-HP-3889","MSD\DavidM","NinjaRMMAgent"
"CTR-HP-3889","MSD\DavidM","Pulse Application Launcher"
"CTR-HP-3889","MSD\DavidM","Microsoft Intune Management Extension"
"CTR-HP-3889","MSD\DavidM","Microsoft Edge"
"CTR-HP-3889","MSD\DavidM","Adobe Acrobat"
"CTR-HP-3889","MSD\DavidM","Splashtop Streamer"
"CTR-HP-3889","MSD\DavidM","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-3889","MSD\DavidM","TeamViewer Host"
"CTR-HP-3889","MSD\DavidM","Microsoft PowerBI Desktop (x64)"
