"ComputerName","UserName","AppName"
"CTR-HP-0QJ3","MSD\DianeM","7-Zip 24.05 (x64)"
"CTR-HP-0QJ3","MSD\DianeM","Pen Settings Service"
"CTR-HP-0QJ3","MSD\DianeM","Mozilla Firefox (x64 en-US)"
"CTR-HP-0QJ3","MSD\DianeM","Mozilla Maintenance Service"
"CTR-HP-0QJ3","MSD\DianeM","Notepad++ (64-bit x64)"
"CTR-HP-0QJ3","MSD\DianeM","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-0QJ3","MSD\DianeM","Microsoft OneDrive"
"CTR-HP-0QJ3","MSD\DianeM","VLC media player"
"CTR-HP-0QJ3","MSD\DianeM","SnowflakeODBCDriver64Bit"
"CTR-HP-0QJ3","MSD\DianeM","Microsoft Update Health Tools"
"CTR-HP-0QJ3","MSD\DianeM","Java 8 Update 411 (64-bit)"
"CTR-HP-0QJ3","MSD\DianeM","TextPad 8.8"
"CTR-HP-0QJ3","MSD\DianeM","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-0QJ3","MSD\DianeM","Microsoft Visio Viewer 2016"
"CTR-HP-0QJ3","MSD\DianeM","Snagit 2024"
"CTR-HP-0QJ3","MSD\DianeM","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-0QJ3","MSD\DianeM","Zoom Workplace (64-bit)"
"CTR-HP-0QJ3","MSD\DianeM","Google Chrome"
"CTR-HP-0QJ3","MSD\DianeM","Trend Micro Apex One Security Agent"
"CTR-HP-0QJ3","MSD\DianeM","NinjaRMMAgent"
"CTR-HP-0QJ3","MSD\DianeM","Ivanti Secure Access Client 22.8"
"CTR-HP-0QJ3","MSD\DianeM","Realtek USB Audio"
"CTR-HP-0QJ3","MSD\DianeM","HP Notifications"
"CTR-HP-0QJ3","MSD\DianeM","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-0QJ3","MSD\DianeM","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-0QJ3","MSD\DianeM","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-0QJ3","MSD\DianeM","PowerDMS Author"
"CTR-HP-0QJ3","MSD\DianeM","Pulse Application Launcher"
"CTR-HP-0QJ3","MSD\DianeM","Microsoft Intune Management Extension"
"CTR-HP-0QJ3","MSD\DianeM","Adobe Acrobat"
"CTR-HP-0QJ3","MSD\DianeM","Splashtop Streamer"
"CTR-HP-0QJ3","MSD\DianeM","Microsoft Edge"
"CTR-HP-0QJ3","MSD\DianeM","Avaya Workplace"
"CTR-HP-0QJ3","MSD\DianeM","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-0QJ3","MSD\DianeM","TeamViewer Host"
