"ComputerName","UserName","AppName"
"CTR-HP-0QK9","MSD\EvaniceH","7-Zip 24.05 (x64)"
"CTR-HP-0QK9","MSD\EvaniceH","Pen Settings Service"
"CTR-HP-0QK9","MSD\EvaniceH","Mozilla Firefox (x64 en-US)"
"CTR-HP-0QK9","MSD\EvaniceH","Mozilla Maintenance Service"
"CTR-HP-0QK9","MSD\EvaniceH","Notepad++ (64-bit x64)"
"CTR-HP-0QK9","MSD\EvaniceH","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-0QK9","MSD\EvaniceH","Microsoft OneDrive"
"CTR-HP-0QK9","MSD\EvaniceH","VLC media player"
"CTR-HP-0QK9","MSD\EvaniceH","Snagit 2021"
"CTR-HP-0QK9","MSD\EvaniceH","SnowflakeODBCDriver64Bit"
"CTR-HP-0QK9","MSD\EvaniceH","Google Chrome"
"CTR-HP-0QK9","MSD\EvaniceH","Microsoft Update Health Tools"
"CTR-HP-0QK9","MSD\EvaniceH","Java 8 Update 411 (64-bit)"
"CTR-HP-0QK9","MSD\EvaniceH","TextPad 8.8"
"CTR-HP-0QK9","MSD\EvaniceH","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-0QK9","MSD\EvaniceH","Microsoft Visio Viewer 2016"
"CTR-HP-0QK9","MSD\EvaniceH","Zoom Workplace (64-bit)"
"CTR-HP-0QK9","MSD\EvaniceH","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-0QK9","MSD\EvaniceH","Trend Micro Apex One Security Agent"
"CTR-HP-0QK9","MSD\EvaniceH","NinjaRMMAgent"
"CTR-HP-0QK9","MSD\EvaniceH","Ivanti Secure Access Client 22.8"
"CTR-HP-0QK9","MSD\EvaniceH","Realtek USB Audio"
"CTR-HP-0QK9","MSD\EvaniceH","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-0QK9","MSD\EvaniceH","PowerDMS Author"
"CTR-HP-0QK9","MSD\EvaniceH","HP Notifications"
"CTR-HP-0QK9","MSD\EvaniceH","Pulse Application Launcher"
"CTR-HP-0QK9","MSD\EvaniceH","Microsoft Intune Management Extension"
"CTR-HP-0QK9","MSD\EvaniceH","Adobe Acrobat"
"CTR-HP-0QK9","MSD\EvaniceH","Splashtop Streamer"
"CTR-HP-0QK9","MSD\EvaniceH","Avaya Workplace"
"CTR-HP-0QK9","MSD\EvaniceH","Microsoft Edge"
"CTR-HP-0QK9","MSD\EvaniceH","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-0QK9","MSD\EvaniceH","TeamViewer Host"
