"ComputerName","UserName","AppName"
"CTR-HP-70QKP","MSD\Jimj","7-Zip 24.05 (x64)"
"CTR-HP-70QKP","MSD\Jimj","Pen Settings Service"
"CTR-HP-70QKP","MSD\Jimj","Mozilla Firefox (x64 en-US)"
"CTR-HP-70QKP","MSD\Jimj","Mozilla Maintenance Service"
"CTR-HP-70QKP","MSD\Jimj","Notepad++ (64-bit x64)"
"CTR-HP-70QKP","MSD\Jimj","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-70QKP","MSD\Jimj","Microsoft OneDrive"
"CTR-HP-70QKP","MSD\Jimj","VLC media player"
"CTR-HP-70QKP","MSD\Jimj","Snagit 2021"
"CTR-HP-70QKP","MSD\Jimj","SnowflakeODBCDriver64Bit"
"CTR-HP-70QKP","MSD\Jimj","Microsoft Update Health Tools"
"CTR-HP-70QKP","MSD\Jimj","Java 8 Update 411 (64-bit)"
"CTR-HP-70QKP","MSD\Jimj","TextPad 8.8"
"CTR-HP-70QKP","MSD\Jimj","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-70QKP","MSD\Jimj","Microsoft Visio Viewer 2016"
"CTR-HP-70QKP","MSD\Jimj","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-70QKP","MSD\Jimj","Zoom Workplace (64-bit)"
"CTR-HP-70QKP","MSD\Jimj","Google Chrome"
"CTR-HP-70QKP","MSD\Jimj","Trend Micro Apex One Security Agent"
"CTR-HP-70QKP","MSD\Jimj","NinjaRMMAgent"
"CTR-HP-70QKP","MSD\Jimj","Ivanti Secure Access Client 22.8"
"CTR-HP-70QKP","MSD\Jimj","Realtek USB Audio"
"CTR-HP-70QKP","MSD\Jimj","Microsoft Edge"
"CTR-HP-70QKP","MSD\Jimj","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-70QKP","MSD\Jimj","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-70QKP","MSD\Jimj","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-70QKP","MSD\Jimj","PowerDMS Author"
"CTR-HP-70QKP","MSD\Jimj","HP Notifications"
"CTR-HP-70QKP","MSD\Jimj","Pulse Application Launcher"
"CTR-HP-70QKP","MSD\Jimj","Microsoft Intune Management Extension"
"CTR-HP-70QKP","MSD\Jimj","Adobe Acrobat"
"CTR-HP-70QKP","MSD\Jimj","Splashtop Streamer"
"CTR-HP-70QKP","MSD\Jimj","Avaya Workplace"
"CTR-HP-70QKP","MSD\Jimj","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-70QKP","MSD\Jimj","TeamViewer Host"
