"ComputerName","UserName","AppName"
"CTR-HP-2R1K","MSD\JohnC","7-Zip 24.09 (x64)"
"CTR-HP-2R1K","MSD\JohnC","Pen Settings Service"
"CTR-HP-2R1K","MSD\JohnC","Mozilla Firefox (x64 en-US)"
"CTR-HP-2R1K","MSD\JohnC","Mozilla Maintenance Service"
"CTR-HP-2R1K","MSD\JohnC","Notepad++ (64-bit x64)"
"CTR-HP-2R1K","MSD\JohnC","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-2R1K","MSD\JohnC","Microsoft OneDrive"
"CTR-HP-2R1K","MSD\JohnC","VLC media player"
"CTR-HP-2R1K","MSD\JohnC","Microsoft Update Health Tools"
"CTR-HP-2R1K","MSD\JohnC","Snagit 2024"
"CTR-HP-2R1K","MSD\JohnC","Java 8 Update 451 (64-bit)"
"CTR-HP-2R1K","MSD\JohnC","TextPad 8.8"
"CTR-HP-2R1K","MSD\JohnC","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-2R1K","MSD\JohnC","Microsoft Visio Viewer 2016"
"CTR-HP-2R1K","MSD\JohnC","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-2R1K","MSD\JohnC","Zoom Workplace (64-bit)"
"CTR-HP-2R1K","MSD\JohnC","Google Chrome"
"CTR-HP-2R1K","MSD\JohnC","Trend Micro Apex One Security Agent"
"CTR-HP-2R1K","MSD\JohnC","Ivanti Secure Access Client 22.8"
"CTR-HP-2R1K","MSD\JohnC","Realtek USB Audio"
"CTR-HP-2R1K","MSD\JohnC","HP Notifications"
"CTR-HP-2R1K","MSD\JohnC","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-2R1K","MSD\JohnC","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-2R1K","MSD\JohnC","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-2R1K","MSD\JohnC","PowerDMS Author"
"CTR-HP-2R1K","MSD\JohnC","NinjaRMMAgent"
"CTR-HP-2R1K","MSD\JohnC","Pulse Application Launcher"
"CTR-HP-2R1K","MSD\JohnC","Microsoft Intune Management Extension"
"CTR-HP-2R1K","MSD\JohnC","Adobe Acrobat"
"CTR-HP-2R1K","MSD\JohnC","Splashtop Streamer"
"CTR-HP-2R1K","MSD\JohnC","Microsoft Edge"
"CTR-HP-2R1K","MSD\JohnC","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-2R1K","MSD\JohnC","TeamViewer Host"
