"ComputerName","UserName","AppName"
"CTR-HP-0TMR","MSD\KristinL","7-Zip 24.09 (x64)"
"CTR-HP-0TMR","MSD\KristinL","Pen Settings Service"
"CTR-HP-0TMR","MSD\KristinL","Mozilla Firefox (x64 en-US)"
"CTR-HP-0TMR","MSD\KristinL","Mozilla Maintenance Service"
"CTR-HP-0TMR","MSD\KristinL","Notepad++ (64-bit x64)"
"CTR-HP-0TMR","MSD\KristinL","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-0TMR","MSD\KristinL","Microsoft OneDrive"
"CTR-HP-0TMR","MSD\KristinL","VLC media player"
"CTR-HP-0TMR","MSD\KristinL","SnowflakeODBCDriver64Bit"
"CTR-HP-0TMR","MSD\KristinL","Realtek USB Audio"
"CTR-HP-0TMR","MSD\KristinL","Microsoft Update Health Tools"
"CTR-HP-0TMR","MSD\KristinL","Java 8 Update 431 (64-bit)"
"CTR-HP-0TMR","MSD\KristinL","TextPad 8.8"
"CTR-HP-0TMR","MSD\KristinL","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-0TMR","MSD\KristinL","Microsoft Visio Viewer 2016"
"CTR-HP-0TMR","MSD\KristinL","Snagit 2024"
"CTR-HP-0TMR","MSD\KristinL","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-0TMR","MSD\KristinL","Zoom Workplace (64-bit)"
"CTR-HP-0TMR","MSD\KristinL","Google Chrome"
"CTR-HP-0TMR","MSD\KristinL","Trend Micro Apex One Security Agent"
"CTR-HP-0TMR","MSD\KristinL","Ivanti Secure Access Client 22.8"
"CTR-HP-0TMR","MSD\KristinL","HP Notifications"
"CTR-HP-0TMR","MSD\KristinL","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-0TMR","MSD\KristinL","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-0TMR","MSD\KristinL","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-0TMR","MSD\KristinL","PowerDMS Author"
"CTR-HP-0TMR","MSD\KristinL","NinjaRMMAgent"
"CTR-HP-0TMR","MSD\KristinL","Pulse Application Launcher"
"CTR-HP-0TMR","MSD\KristinL","Microsoft Intune Management Extension"
"CTR-HP-0TMR","MSD\KristinL","Adobe Acrobat"
"CTR-HP-0TMR","MSD\KristinL","Splashtop Streamer"
"CTR-HP-0TMR","MSD\KristinL","Microsoft Edge"
"CTR-HP-0TMR","MSD\KristinL","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-0TMR","MSD\KristinL","TeamViewer Host"
