"ComputerName","UserName","AppName"
"CTR-HP-0QGL","MSD\MelissaD","7-Zip 24.05 (x64)"
"CTR-HP-0QGL","MSD\MelissaD","Pen Settings Service"
"CTR-HP-0QGL","MSD\MelissaD","Mozilla Firefox (x64 en-US)"
"CTR-HP-0QGL","MSD\MelissaD","Mozilla Maintenance Service"
"CTR-HP-0QGL","MSD\MelissaD","Notepad++ (64-bit x64)"
"CTR-HP-0QGL","MSD\MelissaD","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-0QGL","MSD\MelissaD","Microsoft OneDrive"
"CTR-HP-0QGL","MSD\MelissaD","Microsoft Visio - en-us"
"CTR-HP-0QGL","MSD\MelissaD","VLC media player"
"CTR-HP-0QGL","MSD\MelissaD","Snagit 2021"
"CTR-HP-0QGL","MSD\MelissaD","SnowflakeODBCDriver64Bit"
"CTR-HP-0QGL","MSD\MelissaD","Google Chrome"
"CTR-HP-0QGL","MSD\MelissaD","Microsoft Update Health Tools"
"CTR-HP-0QGL","MSD\MelissaD","Webex"
"CTR-HP-0QGL","MSD\MelissaD","Java 8 Update 411 (64-bit)"
"CTR-HP-0QGL","MSD\MelissaD","HP USB-C Dock G5 Firmware Installer"
"CTR-HP-0QGL","MSD\MelissaD","TextPad 8.8"
"CTR-HP-0QGL","MSD\MelissaD","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-0QGL","MSD\MelissaD","Microsoft Visio Viewer 2016"
"CTR-HP-0QGL","MSD\MelissaD","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-0QGL","MSD\MelissaD","Zoom Workplace (64-bit)"
"CTR-HP-0QGL","MSD\MelissaD","Trend Micro Apex One Security Agent"
"CTR-HP-0QGL","MSD\MelissaD","NinjaRMMAgent"
"CTR-HP-0QGL","MSD\MelissaD","Ivanti Secure Access Client 22.8"
"CTR-HP-0QGL","MSD\MelissaD","Realtek USB Audio"
"CTR-HP-0QGL","MSD\MelissaD","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-0QGL","MSD\MelissaD","HP Dock Accessory WMI Provider"
"CTR-HP-0QGL","MSD\MelissaD","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-0QGL","MSD\MelissaD","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-0QGL","MSD\MelissaD","Microsoft Edge"
"CTR-HP-0QGL","MSD\MelissaD","PowerDMS Author"
"CTR-HP-0QGL","MSD\MelissaD","HP Notifications"
"CTR-HP-0QGL","MSD\MelissaD","Pulse Application Launcher"
"CTR-HP-0QGL","MSD\MelissaD","Microsoft Intune Management Extension"
"CTR-HP-0QGL","MSD\MelissaD","Adobe Acrobat"
"CTR-HP-0QGL","MSD\MelissaD","Splashtop Streamer"
"CTR-HP-0QGL","MSD\MelissaD","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-0QGL","MSD\MelissaD","TeamViewer Host"
