"ComputerName","UserName","AppName"
"CTR-HP-93895","MSD\NicholasO","7-Zip 24.08 (x64)"
"CTR-HP-93895","MSD\NicholasO","Pen Settings Service"
"CTR-HP-93895","MSD\NicholasO","Mozilla Firefox (x64 en-US)"
"CTR-HP-93895","MSD\NicholasO","Mozilla Maintenance Service"
"CTR-HP-93895","MSD\NicholasO","Notepad++ (64-bit x64)"
"CTR-HP-93895","MSD\NicholasO","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-93895","MSD\NicholasO","Microsoft OneDrive"
"CTR-HP-93895","MSD\NicholasO","Microsoft Visio - en-us"
"CTR-HP-93895","MSD\NicholasO","VLC media player"
"CTR-HP-93895","MSD\NicholasO","SnowflakeODBCDriver64Bit"
"CTR-HP-93895","MSD\NicholasO","Microsoft Update Health Tools"
"CTR-HP-93895","MSD\NicholasO","Java 8 Update 431 (64-bit)"
"CTR-HP-93895","MSD\NicholasO","TextPad 8.8"
"CTR-HP-93895","MSD\NicholasO","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-93895","MSD\NicholasO","Microsoft Visio Viewer 2016"
"CTR-HP-93895","MSD\NicholasO","Snagit 2024"
"CTR-HP-93895","MSD\NicholasO","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-93895","MSD\NicholasO","Zoom Workplace (64-bit)"
"CTR-HP-93895","MSD\NicholasO","Google Chrome"
"CTR-HP-93895","MSD\NicholasO","Trend Micro Apex One Security Agent"
"CTR-HP-93895","MSD\NicholasO","Ivanti Secure Access Client 22.8"
"CTR-HP-93895","MSD\NicholasO","Realtek USB Audio"
"CTR-HP-93895","MSD\NicholasO","HP Notifications"
"CTR-HP-93895","MSD\NicholasO","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-93895","MSD\NicholasO","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-93895","MSD\NicholasO","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-93895","MSD\NicholasO","Microsoft Edge"
"CTR-HP-93895","MSD\NicholasO","PowerDMS Author"
"CTR-HP-93895","MSD\NicholasO","NinjaRMMAgent"
"CTR-HP-93895","MSD\NicholasO","Pulse Application Launcher"
"CTR-HP-93895","MSD\NicholasO","Microsoft Intune Management Extension"
"CTR-HP-93895","MSD\NicholasO","Adobe Acrobat"
"CTR-HP-93895","MSD\NicholasO","Splashtop Streamer"
"CTR-HP-93895","MSD\NicholasO","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-93895","MSD\NicholasO","TeamViewer Host"
