"ComputerName","UserName","AppName"
"CTR-PROD-WPDQ","SYSTEM","SnowflakeODBCDriver64Bit"
"CTR-PROD-WPDQ","SYSTEM","VMware Tools"
"CTR-PROD-WPDQ","SYSTEM","Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161"
"CTR-PROD-WPDQ","SYSTEM","Angry IP Scanner"
"CTR-PROD-WPDQ","SYSTEM","Trend Micro Apex One Security Agent"
"CTR-PROD-WPDQ","SYSTEM","Microsoft Edge"
"CTR-PROD-WPDQ","SYSTEM","NinjaRMMAgent"
"CTR-PROD-WPDQ","SYSTEM","PDQ Deploy"
"CTR-PROD-WPDQ","SYSTEM","Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148"
"CTR-PROD-WPDQ","SYSTEM","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.36.32532"
"CTR-PROD-WPDQ","SYSTEM","Check MK Agent 2.1"
"CTR-PROD-WPDQ","SYSTEM","PDQ Inventory"
"CTR-PROD-WPDQ","SYSTEM","PowerShell 7-x86"
"CTR-PROD-WPDQ","SYSTEM","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.36.32532"
"CTR-PROD-WPDQ","SYSTEM","Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.60610"
"CTR-PROD-WPDQ","SYSTEM","Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161"
"CTR-PROD-WPDQ","SYSTEM","Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.60610"
"CTR-PROD-WPDQ","SYSTEM","PowerShell 7.4.7.0-x64"
