"ComputerName","UserName","AppName"
"CTR-HP-2R1S","MSD\ParrisK","Author 3.0.8-beta.1"
"CTR-HP-2R1S","MSD\ParrisK","7-Zip 24.05 (x64)"
"CTR-HP-2R1S","MSD\ParrisK","Pen Settings Service"
"CTR-HP-2R1S","MSD\ParrisK","Mozilla Firefox (x64 en-US)"
"CTR-HP-2R1S","MSD\ParrisK","Mozilla Maintenance Service"
"CTR-HP-2R1S","MSD\ParrisK","Notepad++ (64-bit x64)"
"CTR-HP-2R1S","MSD\ParrisK","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-2R1S","MSD\ParrisK","Microsoft OneDrive"
"CTR-HP-2R1S","MSD\ParrisK","VLC media player"
"CTR-HP-2R1S","MSD\ParrisK","Snagit 2021"
"CTR-HP-2R1S","MSD\ParrisK","SnowflakeODBCDriver64Bit"
"CTR-HP-2R1S","MSD\ParrisK","Microsoft Update Health Tools"
"CTR-HP-2R1S","MSD\ParrisK","Java 8 Update 411 (64-bit)"
"CTR-HP-2R1S","MSD\ParrisK","HP USB-C Dock G5 Firmware Installer"
"CTR-HP-2R1S","MSD\ParrisK","TextPad 8.8"
"CTR-HP-2R1S","MSD\ParrisK","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-2R1S","MSD\ParrisK","Microsoft Visio Viewer 2016"
"CTR-HP-2R1S","MSD\ParrisK","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-2R1S","MSD\ParrisK","Zoom Workplace (64-bit)"
"CTR-HP-2R1S","MSD\ParrisK","Google Chrome"
"CTR-HP-2R1S","MSD\ParrisK","Trend Micro Apex One Security Agent"
"CTR-HP-2R1S","MSD\ParrisK","NinjaRMMAgent"
"CTR-HP-2R1S","MSD\ParrisK","Ivanti Secure Access Client 22.8"
"CTR-HP-2R1S","MSD\ParrisK","Realtek USB Audio"
"CTR-HP-2R1S","MSD\ParrisK","HP Dock Accessory WMI Provider"
"CTR-HP-2R1S","MSD\ParrisK","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-2R1S","MSD\ParrisK","Teams Machine-Wide Installer"
"CTR-HP-2R1S","MSD\ParrisK","PowerDMS Author"
"CTR-HP-2R1S","MSD\ParrisK","HP Notifications"
"CTR-HP-2R1S","MSD\ParrisK","Pulse Application Launcher"
"CTR-HP-2R1S","MSD\ParrisK","Adobe Acrobat"
"CTR-HP-2R1S","MSD\ParrisK","Splashtop Streamer"
"CTR-HP-2R1S","MSD\ParrisK","Microsoft Edge"
"CTR-HP-2R1S","MSD\ParrisK","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-2R1S","MSD\ParrisK","TeamViewer Host"
