"ComputerName","UserName","AppName"
"CTR-HP-0QHF","MSD\PatD","7-Zip 24.05 (x64)"
"CTR-HP-0QHF","MSD\PatD","Pen Settings Service"
"CTR-HP-0QHF","MSD\PatD","Mozilla Firefox (x64 en-US)"
"CTR-HP-0QHF","MSD\PatD","Mozilla Maintenance Service"
"CTR-HP-0QHF","MSD\PatD","Notepad++ (64-bit x64)"
"CTR-HP-0QHF","MSD\PatD","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-0QHF","MSD\PatD","Microsoft OneDrive"
"CTR-HP-0QHF","MSD\PatD","Microsoft Visio - en-us"
"CTR-HP-0QHF","MSD\PatD","VLC media player"
"CTR-HP-0QHF","MSD\PatD","Snagit 2021"
"CTR-HP-0QHF","MSD\PatD","SnowflakeODBCDriver64Bit"
"CTR-HP-0QHF","MSD\PatD","Google Chrome"
"CTR-HP-0QHF","MSD\PatD","Microsoft Update Health Tools"
"CTR-HP-0QHF","MSD\PatD","Java 8 Update 411 (64-bit)"
"CTR-HP-0QHF","MSD\PatD","HP USB-C Dock G5 Firmware Installer"
"CTR-HP-0QHF","MSD\PatD","TextPad 8.8"
"CTR-HP-0QHF","MSD\PatD","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-0QHF","MSD\PatD","Microsoft Visio Viewer 2016"
"CTR-HP-0QHF","MSD\PatD","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-0QHF","MSD\PatD","Zoom Workplace (64-bit)"
"CTR-HP-0QHF","MSD\PatD","Trend Micro Apex One Security Agent"
"CTR-HP-0QHF","MSD\PatD","NinjaRMMAgent"
"CTR-HP-0QHF","MSD\PatD","Ivanti Secure Access Client 22.8"
"CTR-HP-0QHF","MSD\PatD","Realtek USB Audio"
"CTR-HP-0QHF","MSD\PatD","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-0QHF","MSD\PatD","HP Dock Accessory WMI Provider"
"CTR-HP-0QHF","MSD\PatD","Cisco Webex Meetings"
"CTR-HP-0QHF","MSD\PatD","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-0QHF","MSD\PatD","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-0QHF","MSD\PatD","Teams Machine-Wide Installer"
"CTR-HP-0QHF","MSD\PatD","PowerDMS Author"
"CTR-HP-0QHF","MSD\PatD","HP Notifications"
"CTR-HP-0QHF","MSD\PatD","Pulse Application Launcher"
"CTR-HP-0QHF","MSD\PatD","Microsoft Edge"
"CTR-HP-0QHF","MSD\PatD","Adobe Acrobat"
"CTR-HP-0QHF","MSD\PatD","Splashtop Streamer"
"CTR-HP-0QHF","MSD\PatD","Avaya Workplace"
"CTR-HP-0QHF","MSD\PatD","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-0QHF","MSD\PatD","TeamViewer Host"
