"ComputerName","UserName","AppName"
"CTR-HP-9389F","MSD\RichmondP","7-Zip 23.01 (x64)"
"CTR-HP-9389F","MSD\RichmondP","Pen Settings Service"
"CTR-HP-9389F","MSD\RichmondP","Mozilla Firefox (x64 en-US)"
"CTR-HP-9389F","MSD\RichmondP","Mozilla Maintenance Service"
"CTR-HP-9389F","MSD\RichmondP","Notepad++ (64-bit x64)"
"CTR-HP-9389F","MSD\RichmondP","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-9389F","MSD\RichmondP","Microsoft OneDrive"
"CTR-HP-9389F","MSD\RichmondP","VLC media player"
"CTR-HP-9389F","MSD\RichmondP","SnowflakeODBCDriver64Bit"
"CTR-HP-9389F","MSD\RichmondP","Google Chrome"
"CTR-HP-9389F","MSD\RichmondP","Microsoft Update Health Tools"
"CTR-HP-9389F","MSD\RichmondP","Snagit 2024"
"CTR-HP-9389F","MSD\RichmondP","Java 8 Update 411 (64-bit)"
"CTR-HP-9389F","MSD\RichmondP","TextPad 8.8"
"CTR-HP-9389F","MSD\RichmondP","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-9389F","MSD\RichmondP","Microsoft Visio Viewer 2016"
"CTR-HP-9389F","MSD\RichmondP","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-9389F","MSD\RichmondP","Zoom Workplace (64-bit)"
"CTR-HP-9389F","MSD\RichmondP","Trend Micro Apex One Security Agent"
"CTR-HP-9389F","MSD\RichmondP","NinjaRMMAgent"
"CTR-HP-9389F","MSD\RichmondP","Ivanti Secure Access Client 22.8"
"CTR-HP-9389F","MSD\RichmondP","Realtek USB Audio"
"CTR-HP-9389F","MSD\RichmondP","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-9389F","MSD\RichmondP","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-9389F","MSD\RichmondP","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-9389F","MSD\RichmondP","PowerDMS Author"
"CTR-HP-9389F","MSD\RichmondP","HP Notifications"
"CTR-HP-9389F","MSD\RichmondP","Pulse Application Launcher"
"CTR-HP-9389F","MSD\RichmondP","Microsoft Intune Management Extension"
"CTR-HP-9389F","MSD\RichmondP","Microsoft Edge"
"CTR-HP-9389F","MSD\RichmondP","Adobe Acrobat"
"CTR-HP-9389F","MSD\RichmondP","Splashtop Streamer"
"CTR-HP-9389F","MSD\RichmondP","Avaya Workplace"
"CTR-HP-9389F","MSD\RichmondP","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-9389F","MSD\RichmondP","TeamViewer Host"
