"ComputerName","UserName","AppName"
"CTR-HP-0QH5","MSD\RyanB","7-Zip 24.09 (x64)"
"CTR-HP-0QH5","MSD\RyanB","Pen Settings Service"
"CTR-HP-0QH5","MSD\RyanB","Mozilla Firefox (x64 en-US)"
"CTR-HP-0QH5","MSD\RyanB","Mozilla Maintenance Service"
"CTR-HP-0QH5","MSD\RyanB","Notepad++ (64-bit x64)"
"CTR-HP-0QH5","MSD\RyanB","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-0QH5","MSD\RyanB","Microsoft OneDrive"
"CTR-HP-0QH5","MSD\RyanB","TeamViewer"
"CTR-HP-0QH5","MSD\RyanB","VLC media player"
"CTR-HP-0QH5","MSD\RyanB","SnowflakeODBCDriver64Bit"
"CTR-HP-0QH5","MSD\RyanB","Microsoft Update Health Tools"
"CTR-HP-0QH5","MSD\RyanB","Snagit 2024"
"CTR-HP-0QH5","MSD\RyanB","Java 8 Update 441 (64-bit)"
"CTR-HP-0QH5","MSD\RyanB","TextPad 8.8"
"CTR-HP-0QH5","MSD\RyanB","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-0QH5","MSD\RyanB","Microsoft Visio Viewer 2016"
"CTR-HP-0QH5","MSD\RyanB","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-0QH5","MSD\RyanB","Zoom Workplace (64-bit)"
"CTR-HP-0QH5","MSD\RyanB","Google Chrome"
"CTR-HP-0QH5","MSD\RyanB","Author (Machine)"
"CTR-HP-0QH5","MSD\RyanB","NinjaRMMAgent"
"CTR-HP-0QH5","MSD\RyanB","Ivanti Secure Access Client 22.8"
"CTR-HP-0QH5","MSD\RyanB","Realtek USB Audio"
"CTR-HP-0QH5","MSD\RyanB","HP Notifications"
"CTR-HP-0QH5","MSD\RyanB","Splashtop for RMM"
"CTR-HP-0QH5","MSD\RyanB","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-0QH5","MSD\RyanB","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-0QH5","MSD\RyanB","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-0QH5","MSD\RyanB","PowerDMS Author"
"CTR-HP-0QH5","MSD\RyanB","Pulse Application Launcher"
"CTR-HP-0QH5","MSD\RyanB","Microsoft Intune Management Extension"
"CTR-HP-0QH5","MSD\RyanB","Adobe Acrobat"
"CTR-HP-0QH5","MSD\RyanB","Microsoft Edge"
"CTR-HP-0QH5","MSD\RyanB","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
