"ComputerName","UserName","AppName"
"CTR-HP-0QH5","MSD\Ryanb","7-Zip 24.09 (x64)"
"CTR-HP-0QH5","MSD\Ryanb","Pen Settings Service"
"CTR-HP-0QH5","MSD\Ryanb","Mozilla Firefox (x64 en-US)"
"CTR-HP-0QH5","MSD\Ryanb","Mozilla Maintenance Service"
"CTR-HP-0QH5","MSD\Ryanb","Notepad++ (64-bit x64)"
"CTR-HP-0QH5","MSD\Ryanb","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-0QH5","MSD\Ryanb","Microsoft OneDrive"
"CTR-HP-0QH5","MSD\Ryanb","TeamViewer"
"CTR-HP-0QH5","MSD\Ryanb","VLC media player"
"CTR-HP-0QH5","MSD\Ryanb","Google Chrome"
"CTR-HP-0QH5","MSD\Ryanb","SnowflakeODBCDriver64Bit"
"CTR-HP-0QH5","MSD\Ryanb","Microsoft Update Health Tools"
"CTR-HP-0QH5","MSD\Ryanb","Zoom Workplace (64-bit)"
"CTR-HP-0QH5","MSD\Ryanb","Snagit 2024"
"CTR-HP-0QH5","MSD\Ryanb","Java 8 Update 441 (64-bit)"
"CTR-HP-0QH5","MSD\Ryanb","TextPad 8.8"
"CTR-HP-0QH5","MSD\Ryanb","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-0QH5","MSD\Ryanb","Microsoft Visio Viewer 2016"
"CTR-HP-0QH5","MSD\Ryanb","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-0QH5","MSD\Ryanb","Author (Machine)"
"CTR-HP-0QH5","MSD\Ryanb","NinjaRMMAgent"
"CTR-HP-0QH5","MSD\Ryanb","Ivanti Secure Access Client 22.8"
"CTR-HP-0QH5","MSD\Ryanb","Realtek USB Audio"
"CTR-HP-0QH5","MSD\Ryanb","HP Notifications"
"CTR-HP-0QH5","MSD\Ryanb","Splashtop for RMM"
"CTR-HP-0QH5","MSD\Ryanb","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-0QH5","MSD\Ryanb","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-0QH5","MSD\Ryanb","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-0QH5","MSD\Ryanb","PowerDMS Author"
"CTR-HP-0QH5","MSD\Ryanb","Pulse Application Launcher"
"CTR-HP-0QH5","MSD\Ryanb","Microsoft Intune Management Extension"
"CTR-HP-0QH5","MSD\Ryanb","Adobe Acrobat"
"CTR-HP-0QH5","MSD\Ryanb","Microsoft Edge"
"CTR-HP-0QH5","MSD\Ryanb","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
