"ComputerName","UserName","AppName"
"CTR-HP-93892","MSD\StefanieR","7-Zip 24.05 (x64)"
"CTR-HP-93892","MSD\StefanieR","Pen Settings Service"
"CTR-HP-93892","MSD\StefanieR","Mozilla Firefox (x64 en-US)"
"CTR-HP-93892","MSD\StefanieR","Mozilla Maintenance Service"
"CTR-HP-93892","MSD\StefanieR","Notepad++ (64-bit x64)"
"CTR-HP-93892","MSD\StefanieR","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-93892","MSD\StefanieR","Microsoft OneDrive"
"CTR-HP-93892","MSD\StefanieR","VLC media player"
"CTR-HP-93892","MSD\StefanieR","Snagit 2021"
"CTR-HP-93892","MSD\StefanieR","SnowflakeODBCDriver64Bit"
"CTR-HP-93892","MSD\StefanieR","Microsoft ODBC Driver 17 for SQL Server"
"CTR-HP-93892","MSD\StefanieR","Google Chrome"
"CTR-HP-93892","MSD\StefanieR","Microsoft Update Health Tools"
"CTR-HP-93892","MSD\StefanieR","Microsoft OLE DB Driver for SQL Server"
"CTR-HP-93892","MSD\StefanieR","Java 8 Update 411 (64-bit)"
"CTR-HP-93892","MSD\StefanieR","TextPad 8.8"
"CTR-HP-93892","MSD\StefanieR","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-93892","MSD\StefanieR","Microsoft Visio Viewer 2016"
"CTR-HP-93892","MSD\StefanieR","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-93892","MSD\StefanieR","Zoom Workplace (64-bit)"
"CTR-HP-93892","MSD\StefanieR","Trend Micro Apex One Security Agent"
"CTR-HP-93892","MSD\StefanieR","Microsoft Help Viewer 2.3"
"CTR-HP-93892","MSD\StefanieR","NinjaRMMAgent"
"CTR-HP-93892","MSD\StefanieR","Ivanti Secure Access Client 22.8"
"CTR-HP-93892","MSD\StefanieR","Realtek USB Audio"
"CTR-HP-93892","MSD\StefanieR","Microsoft PowerBI Desktop (x64)"
"CTR-HP-93892","MSD\StefanieR","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-93892","MSD\StefanieR","Microsoft SQL Server Management Studio - 20.1"
"CTR-HP-93892","MSD\StefanieR","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-93892","MSD\StefanieR","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-93892","MSD\StefanieR","HP Notifications"
"CTR-HP-93892","MSD\StefanieR","Pulse Application Launcher"
"CTR-HP-93892","MSD\StefanieR","Microsoft Intune Management Extension"
"CTR-HP-93892","MSD\StefanieR","Adobe Acrobat"
"CTR-HP-93892","MSD\StefanieR","Splashtop Streamer"
"CTR-HP-93892","MSD\StefanieR","Microsoft Edge"
"CTR-HP-93892","MSD\StefanieR","PowerDMS Author"
"CTR-HP-93892","MSD\StefanieR","Avaya Workplace"
"CTR-HP-93892","MSD\StefanieR","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-93892","MSD\StefanieR","Microsoft Visual Studio Tools for Applications 2019"
"CTR-HP-93892","MSD\StefanieR","TeamViewer Host"
