"ComputerName","UserName","AppName"
"CTR-HP-0QJK","MSD\ThomasS","7-Zip 24.05 (x64)"
"CTR-HP-0QJK","MSD\ThomasS","Pen Settings Service"
"CTR-HP-0QJK","MSD\ThomasS","Mozilla Firefox (x64 en-US)"
"CTR-HP-0QJK","MSD\ThomasS","Mozilla Maintenance Service"
"CTR-HP-0QJK","MSD\ThomasS","Notepad++ (64-bit x64)"
"CTR-HP-0QJK","MSD\ThomasS","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-0QJK","MSD\ThomasS","Microsoft OneDrive"
"CTR-HP-0QJK","MSD\ThomasS","VLC media player"
"CTR-HP-0QJK","MSD\ThomasS","Snagit 2021"
"CTR-HP-0QJK","MSD\ThomasS","SnowflakeODBCDriver64Bit"
"CTR-HP-0QJK","MSD\ThomasS","Microsoft Update Health Tools"
"CTR-HP-0QJK","MSD\ThomasS","Java 8 Update 411 (64-bit)"
"CTR-HP-0QJK","MSD\ThomasS","HP USB-C Dock G5 Firmware Installer"
"CTR-HP-0QJK","MSD\ThomasS","TextPad 8.8"
"CTR-HP-0QJK","MSD\ThomasS","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-0QJK","MSD\ThomasS","Microsoft Visio Viewer 2016"
"CTR-HP-0QJK","MSD\ThomasS","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-0QJK","MSD\ThomasS","Zoom Workplace (64-bit)"
"CTR-HP-0QJK","MSD\ThomasS","Google Chrome"
"CTR-HP-0QJK","MSD\ThomasS","Trend Micro Apex One Security Agent"
"CTR-HP-0QJK","MSD\ThomasS","NinjaRMMAgent"
"CTR-HP-0QJK","MSD\ThomasS","Ivanti Secure Access Client 22.8"
"CTR-HP-0QJK","MSD\ThomasS","Realtek USB Audio"
"CTR-HP-0QJK","MSD\ThomasS","HP Notifications"
"CTR-HP-0QJK","MSD\ThomasS","Microsoft Edge"
"CTR-HP-0QJK","MSD\ThomasS","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-0QJK","MSD\ThomasS","HP Dock Accessory WMI Provider"
"CTR-HP-0QJK","MSD\ThomasS","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-0QJK","MSD\ThomasS","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-0QJK","MSD\ThomasS","PowerDMS Author"
"CTR-HP-0QJK","MSD\ThomasS","Pulse Application Launcher"
"CTR-HP-0QJK","MSD\ThomasS","Microsoft Intune Management Extension"
"CTR-HP-0QJK","MSD\ThomasS","Adobe Acrobat"
"CTR-HP-0QJK","MSD\ThomasS","Splashtop Streamer"
"CTR-HP-0QJK","MSD\ThomasS","Avaya Workplace"
"CTR-HP-0QJK","MSD\ThomasS","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-0QJK","MSD\ThomasS","TeamViewer Host"
