"ComputerName","UserName","AppName"
"CTR-HP-70QJZ","MSD\ValerieF","7-Zip 24.08 (x64)"
"CTR-HP-70QJZ","MSD\ValerieF","Pen Settings Service"
"CTR-HP-70QJZ","MSD\ValerieF","Mozilla Firefox (x64 en-US)"
"CTR-HP-70QJZ","MSD\ValerieF","Mozilla Maintenance Service"
"CTR-HP-70QJZ","MSD\ValerieF","Notepad++ (64-bit x64)"
"CTR-HP-70QJZ","MSD\ValerieF","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-70QJZ","MSD\ValerieF","Microsoft OneDrive"
"CTR-HP-70QJZ","MSD\ValerieF","Pulse Secure Setup Client 64-bit Activex Control"
"CTR-HP-70QJZ","MSD\ValerieF","VLC media player"
"CTR-HP-70QJZ","MSD\ValerieF","SnowflakeODBCDriver64Bit"
"CTR-HP-70QJZ","MSD\ValerieF","Microsoft Update Health Tools"
"CTR-HP-70QJZ","MSD\ValerieF","Java 8 Update 421 (64-bit)"
"CTR-HP-70QJZ","MSD\ValerieF","TextPad 8.8"
"CTR-HP-70QJZ","MSD\ValerieF","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-70QJZ","MSD\ValerieF","Microsoft Visio Viewer 2016"
"CTR-HP-70QJZ","MSD\ValerieF","Snagit 2024"
"CTR-HP-70QJZ","MSD\ValerieF","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-70QJZ","MSD\ValerieF","Zoom Workplace (64-bit)"
"CTR-HP-70QJZ","MSD\ValerieF","Google Chrome"
"CTR-HP-70QJZ","MSD\ValerieF","Trend Micro Apex One Security Agent"
"CTR-HP-70QJZ","MSD\ValerieF","NinjaRMMAgent"
"CTR-HP-70QJZ","MSD\ValerieF","Ivanti Secure Access Client 22.8"
"CTR-HP-70QJZ","MSD\ValerieF","Pulse Secure 9.1"
"CTR-HP-70QJZ","MSD\ValerieF","Pulse Secure Setup Client Activex Control"
"CTR-HP-70QJZ","MSD\ValerieF","Realtek USB Audio"
"CTR-HP-70QJZ","MSD\ValerieF","HP Notifications"
"CTR-HP-70QJZ","MSD\ValerieF","Microsoft Edge"
"CTR-HP-70QJZ","MSD\ValerieF","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-70QJZ","MSD\ValerieF","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-70QJZ","MSD\ValerieF","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-70QJZ","MSD\ValerieF","PowerDMS Author"
"CTR-HP-70QJZ","MSD\ValerieF","Pulse Application Launcher"
"CTR-HP-70QJZ","MSD\ValerieF","Microsoft Intune Management Extension"
"CTR-HP-70QJZ","MSD\ValerieF","Adobe Acrobat"
"CTR-HP-70QJZ","MSD\ValerieF","Splashtop Streamer"
"CTR-HP-70QJZ","MSD\ValerieF","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-70QJZ","MSD\ValerieF","TeamViewer Host"
