"ComputerName","UserName","AppName"
"CTR-HP-0TQF","MSD\VictoriaK","7-Zip 24.09 (x64)"
"CTR-HP-0TQF","MSD\VictoriaK","Pen Settings Service"
"CTR-HP-0TQF","MSD\VictoriaK","Mozilla Firefox (x64 en-US)"
"CTR-HP-0TQF","MSD\VictoriaK","Mozilla Maintenance Service"
"CTR-HP-0TQF","MSD\VictoriaK","Notepad++ (64-bit x64)"
"CTR-HP-0TQF","MSD\VictoriaK","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-0TQF","MSD\VictoriaK","Microsoft OneDrive"
"CTR-HP-0TQF","MSD\VictoriaK","VLC media player"
"CTR-HP-0TQF","MSD\VictoriaK","SnowflakeODBCDriver64Bit"
"CTR-HP-0TQF","MSD\VictoriaK","Realtek USB Audio"
"CTR-HP-0TQF","MSD\VictoriaK","Microsoft Update Health Tools"
"CTR-HP-0TQF","MSD\VictoriaK","Snagit 2024"
"CTR-HP-0TQF","MSD\VictoriaK","Java 8 Update 431 (64-bit)"
"CTR-HP-0TQF","MSD\VictoriaK","TextPad 8.8"
"CTR-HP-0TQF","MSD\VictoriaK","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-0TQF","MSD\VictoriaK","Microsoft Visio Viewer 2016"
"CTR-HP-0TQF","MSD\VictoriaK","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-0TQF","MSD\VictoriaK","Zoom Workplace (64-bit)"
"CTR-HP-0TQF","MSD\VictoriaK","Google Chrome"
"CTR-HP-0TQF","MSD\VictoriaK","Trend Micro Apex One Security Agent"
"CTR-HP-0TQF","MSD\VictoriaK","Ivanti Secure Access Client 22.8"
"CTR-HP-0TQF","MSD\VictoriaK","HP Notifications"
"CTR-HP-0TQF","MSD\VictoriaK","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-0TQF","MSD\VictoriaK","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-0TQF","MSD\VictoriaK","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-0TQF","MSD\VictoriaK","PowerDMS Author"
"CTR-HP-0TQF","MSD\VictoriaK","NinjaRMMAgent"
"CTR-HP-0TQF","MSD\VictoriaK","Pulse Application Launcher"
"CTR-HP-0TQF","MSD\VictoriaK","Microsoft Intune Management Extension"
"CTR-HP-0TQF","MSD\VictoriaK","Adobe Acrobat"
"CTR-HP-0TQF","MSD\VictoriaK","Splashtop Streamer"
"CTR-HP-0TQF","MSD\VictoriaK","Microsoft Edge"
"CTR-HP-0TQF","MSD\VictoriaK","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-0TQF","MSD\VictoriaK","TeamViewer Host"
