"ComputerName","UserName","AppName"
"CTR-HP-2R1N","MSD\BrianJ","7-Zip 24.05 (x64)"
"CTR-HP-2R1N","MSD\BrianJ","Pen Settings Service"
"CTR-HP-2R1N","MSD\BrianJ","Mozilla Firefox (x64 en-US)"
"CTR-HP-2R1N","MSD\BrianJ","Mozilla Maintenance Service"
"CTR-HP-2R1N","MSD\BrianJ","Notepad++ (64-bit x64)"
"CTR-HP-2R1N","MSD\BrianJ","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-2R1N","MSD\BrianJ","Microsoft OneDrive"
"CTR-HP-2R1N","MSD\BrianJ","VLC media player"
"CTR-HP-2R1N","MSD\BrianJ","Snagit 2021"
"CTR-HP-2R1N","MSD\BrianJ","SnowflakeODBCDriver64Bit"
"CTR-HP-2R1N","MSD\BrianJ","Google Chrome"
"CTR-HP-2R1N","MSD\BrianJ","Microsoft Update Health Tools"
"CTR-HP-2R1N","MSD\BrianJ","Java 8 Update 411 (64-bit)"
"CTR-HP-2R1N","MSD\BrianJ","HP USB-C Dock G5 Firmware Installer"
"CTR-HP-2R1N","MSD\BrianJ","TextPad 8.8"
"CTR-HP-2R1N","MSD\BrianJ","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-2R1N","MSD\BrianJ","Microsoft Visio Viewer 2016"
"CTR-HP-2R1N","MSD\BrianJ","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-2R1N","MSD\BrianJ","Zoom Workplace (64-bit)"
"CTR-HP-2R1N","MSD\BrianJ","Trend Micro Apex One Security Agent"
"CTR-HP-2R1N","MSD\BrianJ","NinjaRMMAgent"
"CTR-HP-2R1N","MSD\BrianJ","Ivanti Secure Access Client 22.8"
"CTR-HP-2R1N","MSD\BrianJ","Realtek USB Audio"
"CTR-HP-2R1N","MSD\BrianJ","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-2R1N","MSD\BrianJ","HP Dock Accessory WMI Provider"
"CTR-HP-2R1N","MSD\BrianJ","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-2R1N","MSD\BrianJ","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-2R1N","MSD\BrianJ","Teams Machine-Wide Installer"
"CTR-HP-2R1N","MSD\BrianJ","PowerDMS Author"
"CTR-HP-2R1N","MSD\BrianJ","HP Notifications"
"CTR-HP-2R1N","MSD\BrianJ","Pulse Application Launcher"
"CTR-HP-2R1N","MSD\BrianJ","Microsoft Edge"
"CTR-HP-2R1N","MSD\BrianJ","Adobe Acrobat"
"CTR-HP-2R1N","MSD\BrianJ","Splashtop Streamer"
"CTR-HP-2R1N","MSD\BrianJ","Avaya Workplace"
"CTR-HP-2R1N","MSD\BrianJ","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-2R1N","MSD\BrianJ","TeamViewer Host"
