"ComputerName","UserName","AppName"
"CTR-HP-0QK1","MSD\danielleb","7-Zip 24.05 (x64)"
"CTR-HP-0QK1","MSD\danielleb","Pen Settings Service"
"CTR-HP-0QK1","MSD\danielleb","Mozilla Firefox (x64 en-US)"
"CTR-HP-0QK1","MSD\danielleb","Mozilla Maintenance Service"
"CTR-HP-0QK1","MSD\danielleb","Notepad++ (64-bit x64)"
"CTR-HP-0QK1","MSD\danielleb","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-0QK1","MSD\danielleb","Microsoft OneDrive"
"CTR-HP-0QK1","MSD\danielleb","VLC media player"
"CTR-HP-0QK1","MSD\danielleb","Snagit 2021"
"CTR-HP-0QK1","MSD\danielleb","SnowflakeODBCDriver64Bit"
"CTR-HP-0QK1","MSD\danielleb","Microsoft Update Health Tools"
"CTR-HP-0QK1","MSD\danielleb","Java 8 Update 411 (64-bit)"
"CTR-HP-0QK1","MSD\danielleb","TextPad 8.8"
"CTR-HP-0QK1","MSD\danielleb","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-0QK1","MSD\danielleb","Microsoft Visio Viewer 2016"
"CTR-HP-0QK1","MSD\danielleb","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-0QK1","MSD\danielleb","Zoom Workplace (64-bit)"
"CTR-HP-0QK1","MSD\danielleb","Google Chrome"
"CTR-HP-0QK1","MSD\danielleb","Trend Micro Apex One Security Agent"
"CTR-HP-0QK1","MSD\danielleb","NinjaRMMAgent"
"CTR-HP-0QK1","MSD\danielleb","Ivanti Secure Access Client 22.8"
"CTR-HP-0QK1","MSD\danielleb","Realtek USB Audio"
"CTR-HP-0QK1","MSD\danielleb","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-0QK1","MSD\danielleb","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-0QK1","MSD\danielleb","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-0QK1","MSD\danielleb","PowerDMS Author"
"CTR-HP-0QK1","MSD\danielleb","HP Notifications"
"CTR-HP-0QK1","MSD\danielleb","Pulse Application Launcher"
"CTR-HP-0QK1","MSD\danielleb","Microsoft Intune Management Extension"
"CTR-HP-0QK1","MSD\danielleb","Adobe Acrobat"
"CTR-HP-0QK1","MSD\danielleb","Splashtop Streamer"
"CTR-HP-0QK1","MSD\danielleb","Avaya Workplace"
"CTR-HP-0QK1","MSD\danielleb","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-0QK1","MSD\danielleb","Microsoft Edge"
"CTR-HP-0QK1","MSD\danielleb","TeamViewer Host"
