"ComputerName","UserName","AppName"
"CTR-HP-0QJL","MSD\DebraH","Author 3.0.8-beta.1"
"CTR-HP-0QJL","MSD\DebraH","7-Zip 24.05 (x64)"
"CTR-HP-0QJL","MSD\DebraH","Pen Settings Service"
"CTR-HP-0QJL","MSD\DebraH","Mozilla Firefox (x64 en-US)"
"CTR-HP-0QJL","MSD\DebraH","Mozilla Maintenance Service"
"CTR-HP-0QJL","MSD\DebraH","Notepad++ (64-bit x64)"
"CTR-HP-0QJL","MSD\DebraH","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-0QJL","MSD\DebraH","Microsoft OneDrive"
"CTR-HP-0QJL","MSD\DebraH","VLC media player"
"CTR-HP-0QJL","MSD\DebraH","Snagit 2021"
"CTR-HP-0QJL","MSD\DebraH","SnowflakeODBCDriver64Bit"
"CTR-HP-0QJL","MSD\DebraH","Microsoft Update Health Tools"
"CTR-HP-0QJL","MSD\DebraH","Java 8 Update 411 (64-bit)"
"CTR-HP-0QJL","MSD\DebraH","HP USB-C Dock G5 Firmware Installer"
"CTR-HP-0QJL","MSD\DebraH","TextPad 8.8"
"CTR-HP-0QJL","MSD\DebraH","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-0QJL","MSD\DebraH","Microsoft Visio Viewer 2016"
"CTR-HP-0QJL","MSD\DebraH","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-0QJL","MSD\DebraH","Zoom Workplace (64-bit)"
"CTR-HP-0QJL","MSD\DebraH","Google Chrome"
"CTR-HP-0QJL","MSD\DebraH","Trend Micro Apex One Security Agent"
"CTR-HP-0QJL","MSD\DebraH","NinjaRMMAgent"
"CTR-HP-0QJL","MSD\DebraH","Ivanti Secure Access Client 22.8"
"CTR-HP-0QJL","MSD\DebraH","Realtek USB Audio"
"CTR-HP-0QJL","MSD\DebraH","HP Dock Accessory WMI Provider"
"CTR-HP-0QJL","MSD\DebraH","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-0QJL","MSD\DebraH","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-0QJL","MSD\DebraH","Teams Machine-Wide Installer"
"CTR-HP-0QJL","MSD\DebraH","PowerDMS Author"
"CTR-HP-0QJL","MSD\DebraH","HP Notifications"
"CTR-HP-0QJL","MSD\DebraH","Pulse Application Launcher"
"CTR-HP-0QJL","MSD\DebraH","Microsoft Edge"
"CTR-HP-0QJL","MSD\DebraH","Microsoft Intune Management Extension"
"CTR-HP-0QJL","MSD\DebraH","Adobe Acrobat"
"CTR-HP-0QJL","MSD\DebraH","Splashtop Streamer"
"CTR-HP-0QJL","MSD\DebraH","Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.27.29112"
"CTR-HP-0QJL","MSD\DebraH","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-0QJL","MSD\DebraH","TeamViewer Host"
