"ComputerName","UserName","AppName"
"CTR-HP-0QH6","MSD\GeorgeH","7-Zip 24.06 (x64)"
"CTR-HP-0QH6","MSD\GeorgeH","Pen Settings Service"
"CTR-HP-0QH6","MSD\GeorgeH","Mozilla Firefox (x64 en-US)"
"CTR-HP-0QH6","MSD\GeorgeH","Mozilla Maintenance Service"
"CTR-HP-0QH6","MSD\GeorgeH","Notepad++ (64-bit x64)"
"CTR-HP-0QH6","MSD\GeorgeH","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-0QH6","MSD\GeorgeH","Microsoft OneDrive"
"CTR-HP-0QH6","MSD\GeorgeH","VLC media player"
"CTR-HP-0QH6","MSD\GeorgeH","SnowflakeODBCDriver64Bit"
"CTR-HP-0QH6","MSD\GeorgeH","Google Chrome"
"CTR-HP-0QH6","MSD\GeorgeH","Microsoft Update Health Tools"
"CTR-HP-0QH6","MSD\GeorgeH","Java 8 Update 411 (64-bit)"
"CTR-HP-0QH6","MSD\GeorgeH","TextPad 8.8"
"CTR-HP-0QH6","MSD\GeorgeH","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-0QH6","MSD\GeorgeH","Microsoft Visio Viewer 2016"
"CTR-HP-0QH6","MSD\GeorgeH","Snagit 2024"
"CTR-HP-0QH6","MSD\GeorgeH","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-0QH6","MSD\GeorgeH","Zoom Workplace (64-bit)"
"CTR-HP-0QH6","MSD\GeorgeH","Trend Micro Apex One Security Agent"
"CTR-HP-0QH6","MSD\GeorgeH","NinjaRMMAgent"
"CTR-HP-0QH6","MSD\GeorgeH","Ivanti Secure Access Client 22.8"
"CTR-HP-0QH6","MSD\GeorgeH","Realtek USB Audio"
"CTR-HP-0QH6","MSD\GeorgeH","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-0QH6","MSD\GeorgeH","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-0QH6","MSD\GeorgeH","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-0QH6","MSD\GeorgeH","PowerDMS Author"
"CTR-HP-0QH6","MSD\GeorgeH","HP Notifications"
"CTR-HP-0QH6","MSD\GeorgeH","Pulse Application Launcher"
"CTR-HP-0QH6","MSD\GeorgeH","Microsoft Intune Management Extension"
"CTR-HP-0QH6","MSD\GeorgeH","Microsoft Edge"
"CTR-HP-0QH6","MSD\GeorgeH","Adobe Acrobat"
"CTR-HP-0QH6","MSD\GeorgeH","Splashtop Streamer"
"CTR-HP-0QH6","MSD\GeorgeH","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-0QH6","MSD\GeorgeH","TeamViewer Host"
