"ComputerName","UserName","AppName"
"CTR-HP-70QHB","MSD\GuillermoP","7-Zip 24.05 (x64)"
"CTR-HP-70QHB","MSD\GuillermoP","Dell Peripheral Manager"
"CTR-HP-70QHB","MSD\GuillermoP","Dell Active Pen Service"
"CTR-HP-70QHB","MSD\GuillermoP","Mozilla Firefox (x64 en-US)"
"CTR-HP-70QHB","MSD\GuillermoP","Mozilla Maintenance Service"
"CTR-HP-70QHB","MSD\GuillermoP","Notepad++ (64-bit x64)"
"CTR-HP-70QHB","MSD\GuillermoP","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-70QHB","MSD\GuillermoP","Microsoft OneDrive"
"CTR-HP-70QHB","MSD\GuillermoP","Microsoft Project - en-us"
"CTR-HP-70QHB","MSD\GuillermoP","Microsoft Visio - en-us"
"CTR-HP-70QHB","MSD\GuillermoP","VLC media player"
"CTR-HP-70QHB","MSD\GuillermoP","Snagit 2021"
"CTR-HP-70QHB","MSD\GuillermoP","SnowflakeODBCDriver64Bit"
"CTR-HP-70QHB","MSD\GuillermoP","Microsoft Update Health Tools"
"CTR-HP-70QHB","MSD\GuillermoP","Java 8 Update 411 (64-bit)"
"CTR-HP-70QHB","MSD\GuillermoP","HP USB-C Dock G5 Firmware Installer"
"CTR-HP-70QHB","MSD\GuillermoP","TextPad 8.8"
"CTR-HP-70QHB","MSD\GuillermoP","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-70QHB","MSD\GuillermoP","Microsoft Visio Viewer 2016"
"CTR-HP-70QHB","MSD\GuillermoP","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-70QHB","MSD\GuillermoP","Zoom Workplace (64-bit)"
"CTR-HP-70QHB","MSD\GuillermoP","Google Chrome"
"CTR-HP-70QHB","MSD\GuillermoP","Trend Micro Apex One Security Agent"
"CTR-HP-70QHB","MSD\GuillermoP","NinjaRMMAgent"
"CTR-HP-70QHB","MSD\GuillermoP","Ivanti Secure Access Client 22.8"
"CTR-HP-70QHB","MSD\GuillermoP","Realtek USB Audio"
"CTR-HP-70QHB","MSD\GuillermoP","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-70QHB","MSD\GuillermoP","HP Dock Accessory WMI Provider"
"CTR-HP-70QHB","MSD\GuillermoP","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-70QHB","MSD\GuillermoP","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-70QHB","MSD\GuillermoP","PowerDMS Author"
"CTR-HP-70QHB","MSD\GuillermoP","HP Notifications"
"CTR-HP-70QHB","MSD\GuillermoP","Pulse Application Launcher"
"CTR-HP-70QHB","MSD\GuillermoP","Microsoft Intune Management Extension"
"CTR-HP-70QHB","MSD\GuillermoP","Adobe Acrobat"
"CTR-HP-70QHB","MSD\GuillermoP","Splashtop Streamer"
"CTR-HP-70QHB","MSD\GuillermoP","Microsoft Edge"
"CTR-HP-70QHB","MSD\GuillermoP","Avaya Workplace"
"CTR-HP-70QHB","MSD\GuillermoP","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-70QHB","MSD\GuillermoP","TeamViewer Host"
