"ComputerName","UserName","AppName"
"CTR-HP-70QGJ","MSD\KeyannaA","7-Zip 24.05 (x64)"
"CTR-HP-70QGJ","MSD\KeyannaA","Pen Settings Service"
"CTR-HP-70QGJ","MSD\KeyannaA","Mozilla Firefox (x64 en-US)"
"CTR-HP-70QGJ","MSD\KeyannaA","Mozilla Maintenance Service"
"CTR-HP-70QGJ","MSD\KeyannaA","Notepad++ (64-bit x64)"
"CTR-HP-70QGJ","MSD\KeyannaA","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-70QGJ","MSD\KeyannaA","Microsoft OneDrive"
"CTR-HP-70QGJ","MSD\KeyannaA","VLC media player"
"CTR-HP-70QGJ","MSD\KeyannaA","Snagit 2021"
"CTR-HP-70QGJ","MSD\KeyannaA","SnowflakeODBCDriver64Bit"
"CTR-HP-70QGJ","MSD\KeyannaA","Google Chrome"
"CTR-HP-70QGJ","MSD\KeyannaA","Microsoft Update Health Tools"
"CTR-HP-70QGJ","MSD\KeyannaA","Java 8 Update 411 (64-bit)"
"CTR-HP-70QGJ","MSD\KeyannaA","TextPad 8.8"
"CTR-HP-70QGJ","MSD\KeyannaA","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-70QGJ","MSD\KeyannaA","Microsoft Visio Viewer 2016"
"CTR-HP-70QGJ","MSD\KeyannaA","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-70QGJ","MSD\KeyannaA","Zoom Workplace (64-bit)"
"CTR-HP-70QGJ","MSD\KeyannaA","Trend Micro Apex One Security Agent"
"CTR-HP-70QGJ","MSD\KeyannaA","NinjaRMMAgent"
"CTR-HP-70QGJ","MSD\KeyannaA","Ivanti Secure Access Client 22.8"
"CTR-HP-70QGJ","MSD\KeyannaA","Realtek USB Audio"
"CTR-HP-70QGJ","MSD\KeyannaA","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-70QGJ","MSD\KeyannaA","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-70QGJ","MSD\KeyannaA","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-70QGJ","MSD\KeyannaA","Microsoft Edge"
"CTR-HP-70QGJ","MSD\KeyannaA","PowerDMS Author"
"CTR-HP-70QGJ","MSD\KeyannaA","HP Notifications"
"CTR-HP-70QGJ","MSD\KeyannaA","Pulse Application Launcher"
"CTR-HP-70QGJ","MSD\KeyannaA","Microsoft Intune Management Extension"
"CTR-HP-70QGJ","MSD\KeyannaA","Adobe Acrobat"
"CTR-HP-70QGJ","MSD\KeyannaA","Splashtop Streamer"
"CTR-HP-70QGJ","MSD\KeyannaA","Avaya Workplace"
"CTR-HP-70QGJ","MSD\KeyannaA","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-70QGJ","MSD\KeyannaA","TeamViewer Host"
