"ComputerName","UserName","AppName"
"CTR-HP-388J","MSD\LydiaS","7-Zip 24.05 (x64)"
"CTR-HP-388J","MSD\LydiaS","Pen Settings Service"
"CTR-HP-388J","MSD\LydiaS","Mozilla Firefox (x64 en-US)"
"CTR-HP-388J","MSD\LydiaS","Mozilla Maintenance Service"
"CTR-HP-388J","MSD\LydiaS","Notepad++ (64-bit x64)"
"CTR-HP-388J","MSD\LydiaS","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-388J","MSD\LydiaS","Microsoft OneDrive"
"CTR-HP-388J","MSD\LydiaS","Microsoft Project - en-us"
"CTR-HP-388J","MSD\LydiaS","Pulse Secure Setup Client 64-bit Activex Control"
"CTR-HP-388J","MSD\LydiaS","Microsoft Visio - en-us"
"CTR-HP-388J","MSD\LydiaS","VLC media player"
"CTR-HP-388J","MSD\LydiaS","Snagit 2021"
"CTR-HP-388J","MSD\LydiaS","SnowflakeODBCDriver64Bit"
"CTR-HP-388J","MSD\LydiaS","Microsoft Update Health Tools"
"CTR-HP-388J","MSD\LydiaS","Java 8 Update 411 (64-bit)"
"CTR-HP-388J","MSD\LydiaS","HP USB-C Dock G5 Firmware Installer"
"CTR-HP-388J","MSD\LydiaS","TextPad 8.8"
"CTR-HP-388J","MSD\LydiaS","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-388J","MSD\LydiaS","Microsoft Visio Viewer 2016"
"CTR-HP-388J","MSD\LydiaS","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-388J","MSD\LydiaS","Zoom Workplace (64-bit)"
"CTR-HP-388J","MSD\LydiaS","Google Chrome"
"CTR-HP-388J","MSD\LydiaS","NinjaRMMAgent"
"CTR-HP-388J","MSD\LydiaS","Ivanti Secure Access Client 22.8"
"CTR-HP-388J","MSD\LydiaS","Pulse Secure 9.1"
"CTR-HP-388J","MSD\LydiaS","Pulse Secure Setup Client Activex Control"
"CTR-HP-388J","MSD\LydiaS","Realtek USB Audio"
"CTR-HP-388J","MSD\LydiaS","HP Notifications"
"CTR-HP-388J","MSD\LydiaS","Bing Wallpaper"
"CTR-HP-388J","MSD\LydiaS","Microsoft Bing Service"
"CTR-HP-388J","MSD\LydiaS","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-388J","MSD\LydiaS","HP Dock Accessory WMI Provider"
"CTR-HP-388J","MSD\LydiaS","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-388J","MSD\LydiaS","Microsoft Edge"
"CTR-HP-388J","MSD\LydiaS","PowerDMS Author"
"CTR-HP-388J","MSD\LydiaS","Pulse Application Launcher"
"CTR-HP-388J","MSD\LydiaS","Microsoft Intune Management Extension"
"CTR-HP-388J","MSD\LydiaS","Adobe Acrobat"
"CTR-HP-388J","MSD\LydiaS","Splashtop Streamer"
"CTR-HP-388J","MSD\LydiaS","Avaya Workplace"
"CTR-HP-388J","MSD\LydiaS","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-388J","MSD\LydiaS","TeamViewer Host"
