"ComputerName","UserName","AppName"
"CTR-HP-70QJ8","MSD\monicam","7-Zip 24.05 (x64)"
"CTR-HP-70QJ8","MSD\monicam","Pen Settings Service"
"CTR-HP-70QJ8","MSD\monicam","Mozilla Firefox (x64 en-US)"
"CTR-HP-70QJ8","MSD\monicam","Mozilla Maintenance Service"
"CTR-HP-70QJ8","MSD\monicam","Notepad++ (64-bit x64)"
"CTR-HP-70QJ8","MSD\monicam","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-70QJ8","MSD\monicam","Microsoft OneDrive"
"CTR-HP-70QJ8","MSD\monicam","VLC media player"
"CTR-HP-70QJ8","MSD\monicam","Snagit 2021"
"CTR-HP-70QJ8","MSD\monicam","SnowflakeODBCDriver64Bit"
"CTR-HP-70QJ8","MSD\monicam","Microsoft Update Health Tools"
"CTR-HP-70QJ8","MSD\monicam","Java 8 Update 411 (64-bit)"
"CTR-HP-70QJ8","MSD\monicam","TextPad 8.8"
"CTR-HP-70QJ8","MSD\monicam","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-70QJ8","MSD\monicam","Microsoft Visio Viewer 2016"
"CTR-HP-70QJ8","MSD\monicam","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-70QJ8","MSD\monicam","Zoom Workplace (64-bit)"
"CTR-HP-70QJ8","MSD\monicam","Google Chrome"
"CTR-HP-70QJ8","MSD\monicam","Trend Micro Apex One Security Agent"
"CTR-HP-70QJ8","MSD\monicam","NinjaRMMAgent"
"CTR-HP-70QJ8","MSD\monicam","Ivanti Secure Access Client 22.8"
"CTR-HP-70QJ8","MSD\monicam","Realtek USB Audio"
"CTR-HP-70QJ8","MSD\monicam","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-70QJ8","MSD\monicam","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-70QJ8","MSD\monicam","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-70QJ8","MSD\monicam","PowerDMS Author"
"CTR-HP-70QJ8","MSD\monicam","HP Notifications"
"CTR-HP-70QJ8","MSD\monicam","Pulse Application Launcher"
"CTR-HP-70QJ8","MSD\monicam","Microsoft Intune Management Extension"
"CTR-HP-70QJ8","MSD\monicam","Microsoft Edge"
"CTR-HP-70QJ8","MSD\monicam","Adobe Acrobat"
"CTR-HP-70QJ8","MSD\monicam","Splashtop Streamer"
"CTR-HP-70QJ8","MSD\monicam","Avaya Workplace"
"CTR-HP-70QJ8","MSD\monicam","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-70QJ8","MSD\monicam","TeamViewer Host"
