"ComputerName","UserName","AppName"
"CTR-HP-2R19","MSD\rachelc","7-Zip 24.06 (x64)"
"CTR-HP-2R19","MSD\rachelc","Pen Settings Service"
"CTR-HP-2R19","MSD\rachelc","Mozilla Firefox (x64 en-US)"
"CTR-HP-2R19","MSD\rachelc","Mozilla Maintenance Service"
"CTR-HP-2R19","MSD\rachelc","Notepad++ (64-bit x64)"
"CTR-HP-2R19","MSD\rachelc","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-2R19","MSD\rachelc","Microsoft OneDrive"
"CTR-HP-2R19","MSD\rachelc","VLC media player"
"CTR-HP-2R19","MSD\rachelc","SnowflakeODBCDriver64Bit"
"CTR-HP-2R19","MSD\rachelc","Microsoft Update Health Tools"
"CTR-HP-2R19","MSD\rachelc","Java 8 Update 411 (64-bit)"
"CTR-HP-2R19","MSD\rachelc","TextPad 8.8"
"CTR-HP-2R19","MSD\rachelc","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-2R19","MSD\rachelc","Microsoft Visio Viewer 2016"
"CTR-HP-2R19","MSD\rachelc","Snagit 2024"
"CTR-HP-2R19","MSD\rachelc","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-2R19","MSD\rachelc","Zoom Workplace (64-bit)"
"CTR-HP-2R19","MSD\rachelc","Google Chrome"
"CTR-HP-2R19","MSD\rachelc","Trend Micro Apex One Security Agent"
"CTR-HP-2R19","MSD\rachelc","NinjaRMMAgent"
"CTR-HP-2R19","MSD\rachelc","Ivanti Secure Access Client 22.8"
"CTR-HP-2R19","MSD\rachelc","Splashtop Software Updater"
"CTR-HP-2R19","MSD\rachelc","Realtek USB Audio"
"CTR-HP-2R19","MSD\rachelc","HP Notifications"
"CTR-HP-2R19","MSD\rachelc","Microsoft Edge"
"CTR-HP-2R19","MSD\rachelc","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-2R19","MSD\rachelc","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-2R19","MSD\rachelc","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-2R19","MSD\rachelc","PowerDMS Author"
"CTR-HP-2R19","MSD\rachelc","Pulse Application Launcher"
"CTR-HP-2R19","MSD\rachelc","Microsoft Intune Management Extension"
"CTR-HP-2R19","MSD\rachelc","Adobe Acrobat"
"CTR-HP-2R19","MSD\rachelc","Splashtop Streamer"
"CTR-HP-2R19","MSD\rachelc","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-2R19","MSD\rachelc","TeamViewer Host"
