"ComputerName","UserName","AppName"
"CTR-HP-2R0T","MSD\RichardL","7-Zip 24.08 (x64)"
"CTR-HP-2R0T","MSD\RichardL","Pen Settings Service"
"CTR-HP-2R0T","MSD\RichardL","Mozilla Firefox (x64 en-US)"
"CTR-HP-2R0T","MSD\RichardL","Mozilla Maintenance Service"
"CTR-HP-2R0T","MSD\RichardL","Notepad++ (64-bit x64)"
"CTR-HP-2R0T","MSD\RichardL","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-2R0T","MSD\RichardL","Microsoft OneDrive"
"CTR-HP-2R0T","MSD\RichardL","VLC media player"
"CTR-HP-2R0T","MSD\RichardL","SnowflakeODBCDriver64Bit"
"CTR-HP-2R0T","MSD\RichardL","Microsoft Update Health Tools"
"CTR-HP-2R0T","MSD\RichardL","Java 8 Update 421 (64-bit)"
"CTR-HP-2R0T","MSD\RichardL","TextPad 8.8"
"CTR-HP-2R0T","MSD\RichardL","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-2R0T","MSD\RichardL","Microsoft Visio Viewer 2016"
"CTR-HP-2R0T","MSD\RichardL","Snagit 2024"
"CTR-HP-2R0T","MSD\RichardL","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-2R0T","MSD\RichardL","Zoom Workplace (64-bit)"
"CTR-HP-2R0T","MSD\RichardL","Google Chrome"
"CTR-HP-2R0T","MSD\RichardL","Trend Micro Apex One Security Agent"
"CTR-HP-2R0T","MSD\RichardL","NinjaRMMAgent"
"CTR-HP-2R0T","MSD\RichardL","Ivanti Secure Access Client 22.8"
"CTR-HP-2R0T","MSD\RichardL","Realtek USB Audio"
"CTR-HP-2R0T","MSD\RichardL","HP Notifications"
"CTR-HP-2R0T","MSD\RichardL","Microsoft Edge"
"CTR-HP-2R0T","MSD\RichardL","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-2R0T","MSD\RichardL","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-2R0T","MSD\RichardL","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-2R0T","MSD\RichardL","PowerDMS Author"
"CTR-HP-2R0T","MSD\RichardL","Pulse Application Launcher"
"CTR-HP-2R0T","MSD\RichardL","Microsoft Intune Management Extension"
"CTR-HP-2R0T","MSD\RichardL","Adobe Acrobat"
"CTR-HP-2R0T","MSD\RichardL","Splashtop Streamer"
"CTR-HP-2R0T","MSD\RichardL","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-2R0T","MSD\RichardL","TeamViewer Host"
