"ComputerName","UserName","AppName"
"CTR-HP-0QJT","MSD\susana","7-Zip 23.01 (x64)"
"CTR-HP-0QJT","MSD\susana","Control-M Client 9.0.21.300 (CTR-HP-0QJT_0)"
"CTR-HP-0QJT","MSD\susana","Pen Settings Service"
"CTR-HP-0QJT","MSD\susana","Mozilla Firefox (x64 en-US)"
"CTR-HP-0QJT","MSD\susana","Mozilla Maintenance Service"
"CTR-HP-0QJT","MSD\susana","Notepad++ (64-bit x64)"
"CTR-HP-0QJT","MSD\susana","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-0QJT","MSD\susana","Microsoft OneDrive"
"CTR-HP-0QJT","MSD\susana","VLC media player"
"CTR-HP-0QJT","MSD\susana","SnowflakeODBCDriver64Bit"
"CTR-HP-0QJT","MSD\susana","Microsoft Update Health Tools"
"CTR-HP-0QJT","MSD\susana","Snagit 2024"
"CTR-HP-0QJT","MSD\susana","HP USB-C&A Universal Dock G2 Firmware Installer"
"CTR-HP-0QJT","MSD\susana","Java 8 Update 441 (64-bit)"
"CTR-HP-0QJT","MSD\susana","TextPad 8.8"
"CTR-HP-0QJT","MSD\susana","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-0QJT","MSD\susana","Microsoft Visio Viewer 2016"
"CTR-HP-0QJT","MSD\susana","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-0QJT","MSD\susana","Zoom Workplace (64-bit)"
"CTR-HP-0QJT","MSD\susana","Google Chrome"
"CTR-HP-0QJT","MSD\susana","Trend Micro Apex One Security Agent"
"CTR-HP-0QJT","MSD\susana","Bitvise SSH Client 8.52 (remove only)"
"CTR-HP-0QJT","MSD\susana","NinjaRMMAgent"
"CTR-HP-0QJT","MSD\susana","Ivanti Secure Access Client 22.8"
"CTR-HP-0QJT","MSD\susana","Splashtop Software Updater"
"CTR-HP-0QJT","MSD\susana","Realtek USB Audio"
"CTR-HP-0QJT","MSD\susana","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-0QJT","MSD\susana","HP Accessory WMI Provider"
"CTR-HP-0QJT","MSD\susana","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-0QJT","MSD\susana","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-0QJT","MSD\susana","PowerDMS Author"
"CTR-HP-0QJT","MSD\susana","HP Notifications"
"CTR-HP-0QJT","MSD\susana","Pulse Application Launcher"
"CTR-HP-0QJT","MSD\susana","Microsoft Intune Management Extension"
"CTR-HP-0QJT","MSD\susana","Microsoft Edge"
"CTR-HP-0QJT","MSD\susana","Adobe Acrobat"
"CTR-HP-0QJT","MSD\susana","Splashtop Streamer"
"CTR-HP-0QJT","MSD\susana","Avaya Workplace"
"CTR-HP-0QJT","MSD\susana","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-0QJT","MSD\susana","TeamViewer Host"
