"ComputerName","UserName","AppName"
"CTR-HP-0QKN","MSD\yodas","7-Zip 24.09 (x64)"
"CTR-HP-0QKN","MSD\yodas","Pen Settings Service"
"CTR-HP-0QKN","MSD\yodas","Mozilla Firefox (x64 en-US)"
"CTR-HP-0QKN","MSD\yodas","Mozilla Maintenance Service"
"CTR-HP-0QKN","MSD\yodas","Notepad++ (64-bit x64)"
"CTR-HP-0QKN","MSD\yodas","Microsoft 365 Apps for enterprise - en-us"
"CTR-HP-0QKN","MSD\yodas","Microsoft OneDrive"
"CTR-HP-0QKN","MSD\yodas","Pulse Secure Setup Client 64-bit Activex Control"
"CTR-HP-0QKN","MSD\yodas","VLC media player"
"CTR-HP-0QKN","MSD\yodas","Google Chrome"
"CTR-HP-0QKN","MSD\yodas","Microsoft Update Health Tools"
"CTR-HP-0QKN","MSD\yodas","Zoom Workplace (64-bit)"
"CTR-HP-0QKN","MSD\yodas","Snagit 2024"
"CTR-HP-0QKN","MSD\yodas","Java 8 Update 441 (64-bit)"
"CTR-HP-0QKN","MSD\yodas","TextPad 8.8"
"CTR-HP-0QKN","MSD\yodas","Update for Windows 10 for x64-based Systems (KB5001716)"
"CTR-HP-0QKN","MSD\yodas","Microsoft Visio Viewer 2016"
"CTR-HP-0QKN","MSD\yodas","Microsoft Teams Meeting Add-in for Microsoft Office"
"CTR-HP-0QKN","MSD\yodas","Pulse Secure 9.1"
"CTR-HP-0QKN","MSD\yodas","Pulse Secure Setup Client Activex Control"
"CTR-HP-0QKN","MSD\yodas","Realtek USB Audio"
"CTR-HP-0QKN","MSD\yodas","HP Notifications"
"CTR-HP-0QKN","MSD\yodas","Microsoft Edge"
"CTR-HP-0QKN","MSD\yodas","Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33810"
"CTR-HP-0QKN","MSD\yodas","Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810"
"CTR-HP-0QKN","MSD\yodas","Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660"
"CTR-HP-0QKN","MSD\yodas","PowerDMS Author"
"CTR-HP-0QKN","MSD\yodas","NinjaRMMAgent"
"CTR-HP-0QKN","MSD\yodas","Microsoft Intune Management Extension"
"CTR-HP-0QKN","MSD\yodas","Adobe Acrobat"
"CTR-HP-0QKN","MSD\yodas","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660"
"CTR-HP-0QKN","MSD\yodas","TeamViewer Host"
