"ODBC DSN Report for computer: CTR-HP-0QKN"
"Generated on: 07/15/2025 10:55:49"
"----------------------------------------"
"2025-07-15 10:55:49  | DEBUG   | Checking registry path: HKCU:\Software\ODBC\ODBC.INI\ODBC Data Sources"
"2025-07-15 10:55:49  | INFO    | Found DSN names:"
"2025-07-15 10:55:49  | INFO    |     MS Access Database"
"2025-07-15 10:55:49  | INFO    |     Excel Files"
"2025-07-15 10:55:49  | INFO    |     dBASE Files"
"2025-07-15 10:55:49  | DEBUG   | Examining DSN key: HKCU:\Software\ODBC\ODBC.INI\MS Access Database"
"2025-07-15 10:55:49  | ERROR   | Error reading registry subkey 'HKCU:\Software\ODBC\ODBC.INI\ODBC Data Sources': You cannot call a method on a null-valued expression."
"2025-07-15 10:55:49  | DEBUG   | Checking registry path: HKLM:\SOFTWARE\ODBC\ODBC.INI\ODBC Data Sources"
"2025-07-15 10:55:49  | WARN    | Registry path HKLM:\SOFTWARE\ODBC\ODBC.INI\ODBC Data Sources does not exist."
"2025-07-15 10:55:49  | DEBUG   | Checking registry path: HKLM:\SOFTWARE\WOW6432Node\ODBC\ODBC.INI\ODBC Data Sources"
"2025-07-15 10:55:49  | WARN    | Registry path HKLM:\SOFTWARE\WOW6432Node\ODBC\ODBC.INI\ODBC Data Sources does not exist."
